Full release scope: 459 task sessions
Parallel full conversion with 16 session workers
OK 032452e9-1886-449d-9c13-0f192572e19f: 307/426 trials, 406 neurons, 1 probes, 20.6s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.46it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.17it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.87it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.17it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.25it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.89it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.64it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.65it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.70it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.95it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.86it/s]
OK 77e6dc6a-66ed-433c-b1a2-778c914f523c: 590/784 trials, 616 neurons, 1 probes, 42.8s
OK 7622da34-51b6-4661-98ae-a57d40806008: 461/585 trials, 499 neurons, 2 probes, 47.0s
OK 73918ae1-e4fd-4c18-b132-00cb555b1ad2: 467/625 trials, 1388 neurons, 2 probes, 60.4s
OK 7bee9f09-a238-42cf-b499-f51f765c6ded: 348/449 trials, 615 neurons, 1 probes, 23.7s
OK 75b6b132-d998-4fba-8482-961418ac957d: 242/471 trials, 1711 neurons, 2 probes, 53.2s
OK 781b35fd-e1f0-4d14-b2bb-95b7263082bb: 323/471 trials, 1795 neurons, 2 probes, 49.4s
OK 746d1902-fa59-4cab-b0aa-013be36060d5: 481/660 trials, 2521 neurons, 2 probes, 65.0s
OK 768a371d-7e88-47f8-bf21-4a6a6570dd6e: 259/403 trials, 2612 neurons, 2 probes, 57.5s
OK 7939711b-8b4d-4251-b698-b97c1eaa846e: 591/1019 trials, 1237 neurons, 1 probes, 43.9s
OK 7cec9792-b8f9-4878-be7e-f08103dc0323: 472/616 trials, 695 neurons, 1 probes, 31.8s
OK 7dd27c2f-9544-448d-918d-be0f9837b0e0: 274/525 trials, 1333 neurons, 1 probes, 28.4s
OK 7af49c00-63dd-4fed-b2e0-1b3bd945b20b: 321/414 trials, 2205 neurons, 2 probes, 44.8s
OK 7f150b7c-c261-46e6-9edb-cc391c9d9f03: 341/656 trials, 603 neurons, 1 probes, 23.3s
OK 7f5df7eb-cf36-4589-a20a-14b535441142: 347/505 trials, 1316 neurons, 1 probes, 23.7s
OK 7cb81727-2097-4b52-b480-c89867b5b34c: 325/658 trials, 1203 neurons, 2 probes, 40.7s
OK 7eeb8423-49e6-4d40-ab6f-703d17af231a: 445/632 trials, 978 neurons, 1 probes, 26.2s
OK 7be8fec4-406b-4e74-8548-d2885dcc3d5e: 435/594 trials, 2120 neurons, 2 probes, 47.3s
OK 7cc74598-9c1b-436b-84fa-0bf89f31adf6: 312/526 trials, 2746 neurons, 2 probes, 40.7s
OK 78b4fff5-c5ec-44d9-b5f9-d59493063f00: 627/892 trials, 2245 neurons, 2 probes, 66.5s
OK 821f1883-27f3-411d-afd3-fb8241bbc39a: 472/592 trials, 1040 neurons, 1 probes, 22.1s
OK 824cf03d-4012-4ab1-b499-c83a92c5589e: 585/764 trials, 684 neurons, 1 probes, 22.5s
OK 837b4e6a-ccfd-49b0-a1dd-3aa53fbf2ecb: 344/560 trials, 860 neurons, 1 probes, 35.0s
OK 810b1e07-009e-4ebe-930a-915e4cd8ece4: 168/469 trials, 2076 neurons, 2 probes, 50.5s
OK 81a1dca0-cc90-47c5-afe3-c277319c47c8: 298/444 trials, 1466 neurons, 2 probes, 46.9s
OK 87ad026d-5b95-4022-8d59-c260870d830f: 589/926 trials, 362 neurons, 1 probes, 35.3s
OK 83d85891-bd75-4557-91b4-1cbb5f8bfc9d: 260/443 trials, 1676 neurons, 2 probes, 42.9s
OK 7f6b86f9-879a-4ea2-8531-294a221af5d0: 626/1013 trials, 2136 neurons, 2 probes, 60.8s
OK 85dc2ebd-8aaf-46b0-9284-a197aee8b16f: 407/770 trials, 1215 neurons, 1 probes, 39.9s
SKIP 7082d8ff-255a-47d7-a839-bf093483ec30: RuntimeError: no left or right whisker motion-energy stream
OK 88d24c31-52e4-49cc-9f32-6adbeb9eba87: 319/547 trials, 910 neurons, 1 probes, 30.4s
OK 88224abb-5746-431f-9c17-17d7ef806e6a: 355/452 trials, 1197 neurons, 2 probes, 42.6s
OK 8207abc6-6b23-4762-92b4-82e05bed5143: 496/751 trials, 2522 neurons, 2 probes, 59.0s
OK 86b6ba67-c1db-4333-add0-f8105ea6e363: 457/565 trials, 1301 neurons, 2 probes, 49.3s
OK 81a78eac-9d36-4f90-a73a-7eb3ad7f770b: 919/1103 trials, 2148 neurons, 2 probes, 64.3s
OK 83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4: 576/907 trials, 1051 neurons, 2 probes, 52.8s
OK 8a1cf4ef-06e3-4c72-9bc7-e1baa189841b: 241/405 trials, 1543 neurons, 2 probes, 37.8s
OK 8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef: 288/401 trials, 1295 neurons, 1 probes, 24.5s
OK 8c2f7f4d-7346-42a4-a715-4d37a5208535: 241/471 trials, 658 neurons, 1 probes, 17.8s
OK 875c1e5c-f7ec-45ac-ab82-ecfe7276a707: 608/787 trials, 1091 neurons, 2 probes, 56.2s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.25it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.77it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.56it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.35it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.97it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.02it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.96it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.62it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:00,  2.08it/s] 67%|██████▋   | 2/3.0 [00:00<00:00,  2.17it/s]100%|██████████| 3/3.0 [00:01<00:00,  3.11it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.76it/s]
OK 8928f98a-b411-497e-aa4b-aa752434686d: 470/663 trials, 1669 neurons, 2 probes, 51.1s
OK 8d316998-28c3-4265-b029-e2ca82375b2f: 399/610 trials, 1012 neurons, 1 probes, 25.8s
OK 8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8: 289/546 trials, 1114 neurons, 2 probes, 29.0s
OK 8a3a0197-b40a-449f-be55-c00b23253bbf: 282/417 trials, 2416 neurons, 2 probes, 42.3s
OK 8c552ddc-813e-4035-81cc-3971b57efe65: 329/457 trials, 1775 neurons, 2 probes, 33.3s
OK 90d1e82c-c96f-496c-ad4e-ee3f02067f25: 387/541 trials, 563 neurons, 1 probes, 23.4s
OK 90e524a2-aa63-47ce-b5b8-1b1941a1223a: 331/419 trials, 1101 neurons, 1 probes, 23.4s
OK 91bac580-76ed-41ab-ac07-89051f8d7f6e: 258/699 trials, 981 neurons, 1 probes, 21.3s
OK 8c025071-c4f3-426c-9aed-f149e8f75b7b: 288/531 trials, 2185 neurons, 2 probes, 46.7s
OK 90c61c38-b9fd-4cc3-9795-29160d2f8e55: 651/804 trials, 1532 neurons, 1 probes, 31.6s
OK 8c33abef-3d3e-4d42-9f27-445e9def08f9: 486/721 trials, 2002 neurons, 2 probes, 44.2s
OK 91796ceb-e314-4859-9a1f-092f85cc846a: 432/626 trials, 1333 neurons, 1 probes, 29.5s
OK 91e04f86-89df-4dec-a8f8-fa915c9a5f1a: 359/548 trials, 984 neurons, 1 probes, 27.6s
OK 8db36de1-8f17-4446-b527-b5d91909b45a: 823/1440 trials, 1611 neurons, 1 probes, 41.6s
OK 90e74228-fd1a-482f-bd56-05dbad132861: 659/971 trials, 685 neurons, 1 probes, 36.3s
OK 931a70ae-90ee-448e-bedb-9d41f3eda647: 380/501 trials, 889 neurons, 1 probes, 24.1s
OK 91a3353a-2da1-420d-8c7c-fad2fedfdd18: 383/508 trials, 961 neurons, 2 probes, 36.2s
OK 94dabed1-741c-4ddd-a6b7-70561e27b750: 382/629 trials, 529 neurons, 1 probes, 27.4s
OK 9a629642-3a9c-42ed-b70a-532db0e86199: 267/401 trials, 647 neurons, 1 probes, 22.8s
OK 9468fa93-21ae-4984-955c-e8402e280c83: 366/514 trials, 1764 neurons, 2 probes, 36.0s
OK 97c1d08d-57b4-4595-8052-91eb84ebfd74: 565/779 trials, 1112 neurons, 1 probes, 32.2s
OK 934dd7a4-fbdc-459c-8830-04fe9033bc28: 536/688 trials, 1193 neurons, 2 probes, 42.4s
OK 948fd27b-507b-41b3-bdf8-f9f5f0af8e0b: 383/604 trials, 1358 neurons, 2 probes, 40.3s
OK 9b5a1754-ac99-4d53-97d3-35c2f6638507: 274/443 trials, 876 neurons, 1 probes, 25.3s
OK 93ad879a-aa42-4150-83e1-38773c9785e4: 419/551 trials, 1684 neurons, 2 probes, 45.6s
OK 9a6e127b-bb07-4be2-92e2-53dd858c2762: 434/653 trials, 875 neurons, 1 probes, 29.4s
OK 9b528ad0-4599-4a55-9148-96cc1d93fb24: 449/581 trials, 603 neurons, 1 probes, 28.9s
OK 9dd72e52-5393-4c08-9eca-f7dace2e59f6: 241/403 trials, 1038 neurons, 1 probes, 27.2s
OK 9545aa05-3945-4054-a5c3-a259f7209d61: 286/487 trials, 2602 neurons, 2 probes, 43.6s
OK 9e9c6fc0-4769-4d83-9ea4-b59a1230510e: 610/1007 trials, 644 neurons, 1 probes, 31.5s
OK 9fc31d79-b56f-46d0-92a0-e9563caf4a7a: 278/420 trials, 377 neurons, 1 probes, 17.3s
OK 952870e5-f2a7-4518-9e6d-71585460f6fe: 722/906 trials, 1744 neurons, 2 probes, 53.8s
OK 9fcbd1a0-77e6-4c41-9428-eeaee74becd5: 243/522 trials, 243 neurons, 1 probes, 25.6s
OK 98e0074c-706a-40e5-bbb5-223f97585a99: 531/740 trials, 2549 neurons, 2 probes, 55.6s
OK a2b9fbbe-79fc-4166-a16e-b307813a2f06: 264/469 trials, 566 neurons, 1 probes, 21.0s
OK a34b4013-414b-42ed-9318-e93fbbc71e7b: 269/711 trials, 334 neurons, 1 probes, 20.1s
OK a2701b93-d8e1-47e9-a819-f1063046f3e7: 412/515 trials, 514 neurons, 1 probes, 23.5s
OK a19c7a3a-7261-42ce-95d5-1f4ca46007ed: 392/479 trials, 1406 neurons, 1 probes, 28.0s
OK a1782f4f-86b0-480c-a7f2-3d8f1ab482ab: 514/741 trials, 1504 neurons, 1 probes, 34.2s
SKIP 872ce8ff-9fb3-485c-be00-bc5479e0095b: RuntimeError: no left or right whisker motion-energy stream
OK a4747ac8-6a75-444f-b99b-696fff0243fd: 338/504 trials, 244 neurons, 1 probes, 24.4s
OK 9eec761e-9762-4897-b308-a3a08c311e69: 493/744 trials, 1468 neurons, 2 probes, 50.6s
OK a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e: 246/411 trials, 2445 neurons, 2 probes, 44.5s
OK 993c7024-0abc-4028-ad30-d397ad55b084: 1033/1091 trials, 2146 neurons, 2 probes, 81.9s
OK 9fe512b8-92a8-4642-83b6-01158ab66c3c: 501/757 trials, 1926 neurons, 2 probes, 55.7s
OK a4000c2f-fa75-4b3e-8f06-a7cf599b87ad: 501/653 trials, 1254 neurons, 2 probes, 49.8s
OK a4a74102-2af5-45dc-9e41-ef7f5aed88be: 270/408 trials, 1719 neurons, 2 probes, 43.5s
OK a405053a-eb13-4aa4-850c-5a337e5dc7fd: 476/615 trials, 1951 neurons, 2 probes, 65.6s
OK a7eba2cf-427f-4df9-879b-e53e962eae18: 285/789 trials, 1414 neurons, 1 probes, 51.8s
OK a66f1593-dafd-4982-9b66-f9554b6c86b5: 392/657 trials, 1846 neurons, 2 probes, 64.0s
OK a6fe44a8-07ab-49b8-81f9-e18575aa85cc: 459/786 trials, 2547 neurons, 2 probes, 63.5s
OK a82800ce-f4e3-4464-9b80-4c3d6fade333: 455/672 trials, 1576 neurons, 2 probes, 62.9s
OK a71175be-d1fd-47a3-aa93-b830ea3634a1: 341/855 trials, 1307 neurons, 2 probes, 70.4s
OK a8a8af78-16de-4841-ab07-fde4b5281a03: 337/550 trials, 2017 neurons, 2 probes, 67.9s
OK ab8a0899-a59f-42e4-8807-95b14056104b: 386/805 trials, 855 neurons, 1 probes, 46.3s
OK b182b754-3c3e-4942-8144-6ee790926b58: 221/444 trials, 1255 neurons, 1 probes, 26.9s
OK aa20388b-9ea3-4506-92f1-3c2be84b85db: 305/519 trials, 1504 neurons, 2 probes, 66.6s
OK af55d16f-0e31-4073-bdb5-26da54914aa2: 814/1118 trials, 930 neurons, 1 probes, 50.3s
OK aad23144-0e52-4eac-80c5-c4ee2decb198: 483/641 trials, 1566 neurons, 2 probes, 58.7s
OK aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf: 484/656 trials, 1521 neurons, 2 probes, 68.1s
OK a9138924-4395-4981-83d1-530f6ff7c8fc: 372/884 trials, 2414 neurons, 2 probes, 76.8s
OK b10ed1ba-2099-42c4-bee3-d053eb594f09: 625/896 trials, 1389 neurons, 1 probes, 39.3s
OK ae8787b1-4229-4d56-b0c2-566b61a25b77: 548/885 trials, 1739 neurons, 2 probes, 59.3s
OK a7763417-e0d6-4f2a-aa55-e382fd9b5fb8: 660/972 trials, 2520 neurons, 2 probes, 91.3s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.34it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.40it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.08it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.24it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.41it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.97it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.42it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.60it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.34it/s]
OK bb6a5aae-2431-401d-8f6a-9fdd6de655a9: 273/415 trials, 457 neurons, 1 probes, 21.3s
OK b22f694e-4a34-4142-ab9d-2556c3487086: 315/480 trials, 2129 neurons, 2 probes, 47.8s
OK b39752db-abdb-47ab-ae78-e8608bbf50ed: 490/636 trials, 1085 neurons, 2 probes, 45.2s
OK b9c205c3-feac-485b-a89d-afc96d9cb280: 410/657 trials, 790 neurons, 1 probes, 27.8s
OK aec5d3cc-4bb2-4349-80a9-0395b76f04e2: 499/649 trials, 2777 neurons, 2 probes, 77.9s
OK b69b86be-af7d-4ecf-8cbf-0cd356afa1bd: 198/462 trials, 1934 neurons, 2 probes, 37.1s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.79it/s]OK bd07e3a7-09c3-4b67-996b-42b6d5cedf1c: 385/473 trials, 667 neurons, 1 probes, 28.5s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.84it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.56it/s]
OK b52182e7-39f6-4914-9717-136db589706e: 461/700 trials, 1615 neurons, 2 probes, 48.1s
  0%|          | 0/3.0 [00:00<?, ?it/s]OK b887df2c-bb9c-44c9-a9c0-538da87b2cab: 373/478 trials, 1124 neurons, 2 probes, 36.9s
 33%|███▎      | 1/3.0 [00:01<00:02,  1.17s/it] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.20it/s]OK bda2faf5-9563-4940-a80f-ce444259e47b: 311/545 trials, 1057 neurons, 1 probes, 25.2s
100%|██████████| 3/3.0 [00:02<00:00,  1.72it/s]100%|██████████| 3/3.0 [00:02<00:00,  1.46it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.84it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.95it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.98it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.59it/s]
OK be164a14-6e73-42c3-ab60-d29c48693c0f: 251/420 trials, 882 neurons, 1 probes, 27.2s
OK b658bc7d-07cd-4203-8a25-7b16b549851b: 794/925 trials, 1270 neurons, 2 probes, 50.5s
OK bb099402-fb31-4cfd-824e-1c97530a0875: 444/665 trials, 1248 neurons, 1 probes, 41.2s
OK c23b4118-db40-4333-af1d-933154b533c6: 194/457 trials, 393 neurons, 1 probes, 18.4s
OK c02e5155-8e8f-427e-873d-d61490bbb9c3: 592/929 trials, 863 neurons, 1 probes, 34.3s
OK bb8d9451-fdbd-4f46-b52e-9290e8f84d2e: 296/503 trials, 1529 neurons, 2 probes, 43.5s
OK bd456d8f-d36e-434a-8051-ff3997253802: 507/630 trials, 1308 neurons, 2 probes, 44.1s
OK c16d3557-b2c1-4545-93d0-112ac0915d93: 388/532 trials, 1303 neurons, 1 probes, 28.7s
OK c8d46ee6-eb68-4535-8756-7c9aa32f10e4: 326/480 trials, 1674 neurons, 1 probes, 45.3s
OK c8e11fd8-d130-4f06-abba-9aa20240ce7c: 265/632 trials, 722 neurons, 1 probes, 45.0s
OK c99d53e6-c317-4c53-99ba-070b26673ac4: 423/642 trials, 818 neurons, 1 probes, 44.4s
OK c46b8def-620d-4d70-9397-be5694255f73: 496/720 trials, 967 neurons, 1 probes, 56.8s
OK ca4ecb4c-4b60-4723-9b9e-2c54a6290a53: 226/620 trials, 1117 neurons, 1 probes, 47.1s
OK c6db3304-c906-400c-aa0f-45dd3945b2ea: 529/742 trials, 1637 neurons, 1 probes, 55.8s
OK cae5cd75-55e5-4277-8db3-cf4d6c5ff918: 258/498 trials, 1044 neurons, 1 probes, 47.0s
OK c3d9b6fb-7fa9-4413-a364-92a54df0fc5d: 374/587 trials, 2617 neurons, 2 probes, 64.3s
OK caa5dddc-9290-4e27-9f5e-575ba3598614: 280/404 trials, 1359 neurons, 2 probes, 52.3s
OK c958919c-2e75-435d-845d-5b62190b520e: 561/788 trials, 1487 neurons, 1 probes, 58.3s
OK cef05f87-161b-4031-932c-6f47daf89698: 346/586 trials, 730 neurons, 1 probes, 29.5s
OK cf43dbb1-6992-40ec-a5f9-e8e838d0f643: 316/402 trials, 329 neurons, 1 probes, 22.0s
OK c4432264-e1ae-446f-8a07-6280abade813: 586/848 trials, 1528 neurons, 2 probes, 74.7s
OK d16a9a8d-5f42-4b49-ba58-1746f807fcc1: 280/449 trials, 379 neurons, 1 probes, 18.3s
SKIP a92c4b1d-46bd-457e-a1f4-414265f0e2d4: KeyError: 'probabilityLeft'
OK d0ea3148-948d-4817-94f8-dcaf2342bbbe: 304/560 trials, 735 neurons, 1 probes, 24.5s
OK cde63527-7f5a-4cc3-8ac2-215d82e7da26: 407/508 trials, 1410 neurons, 2 probes, 57.4s
OK d0c91c3c-8cbb-4929-8657-31f18bffc294: 627/815 trials, 518 neurons, 1 probes, 30.9s
OK cc45c568-c3b9-4f74-836e-c87762e898c8: 524/715 trials, 1624 neurons, 2 probes, 67.1s
OK d32876dd-8303-4720-8e7e-20678dc2fd71: 131/424 trials, 638 neurons, 1 probes, 19.3s
OK d23b005f-46f5-4fe1-870c-f55f6eb9533d: 415/586 trials, 1253 neurons, 1 probes, 28.3s
SKIP ac7d3064-7f09-48a3-88d2-e86a4eb86461: RuntimeError: no left or right whisker motion-energy stream
OK c557324b-b95d-414c-888f-6ee1329a2329: 855/1053 trials, 2091 neurons, 2 probes, 87.9s
OK cb2ad999-a6cb-42ff-bf71-1774c57e5308: 679/872 trials, 1368 neurons, 2 probes, 74.7s
OK d23a44ef-1402-4ed7-97f5-47e9a7a504d9: 286/410 trials, 1961 neurons, 2 probes, 37.1s
OK d2832a38-27f6-452d-91d6-af72d794136c: 513/663 trials, 700 neurons, 1 probes, 35.0s
OK d2918f52-8280-43c0-924b-029b2317e62c: 585/837 trials, 1088 neurons, 1 probes, 35.3s
OK d85c454e-8737-4cba-b6ad-b2339429d99b: 325/413 trials, 135 neurons, 1 probes, 16.7s
OK d57df551-6dcb-4242-9c72-b806cff5613a: 579/772 trials, 1108 neurons, 1 probes, 44.5s
OK d2f5a130-b981-4546-8858-c94ae1da75ff: 355/525 trials, 1669 neurons, 2 probes, 53.4s
OK db4df448-e449-4a6f-a0e7-288711e7a75a: 288/402 trials, 709 neurons, 1 probes, 33.0s
SKIP b81e3e11-9a60-4114-b894-09f85074d9c3: RuntimeError: no left or right whisker motion-energy stream
OK d7e60cc3-6020-429e-a654-636c6cc677ea: 294/490 trials, 1323 neurons, 2 probes, 47.1s
OK d33baf74-263c-4b37-a0d0-b79dcb80a764: 298/427 trials, 2744 neurons, 2 probes, 53.2s
OK d839491f-55d8-4cbe-a298-7839208ba12b: 326/559 trials, 931 neurons, 2 probes, 45.7s
OK de905562-31c6-4c31-9ece-3ee87b97eab4: 314/401 trials, 326 neurons, 1 probes, 28.6s
OK d71e565d-4ddb-42df-849e-f99cfdeced52: 389/600 trials, 1425 neurons, 2 probes, 52.7s
OK dcceebe5-4589-44df-a1c1-9fa33e779727: 506/681 trials, 214 neurons, 1 probes, 35.0s
OK dc21e80d-97d7-44ca-a729-a8e3f9b14305: 505/1111 trials, 728 neurons, 1 probes, 41.2s
OK d901aff5-2250-467a-b4a1-0cb9729df9e2: 358/458 trials, 1555 neurons, 2 probes, 46.9s
OK d3a2b25e-46d3-4f0b-ade6-4e32255f4c35: 687/949 trials, 2177 neurons, 2 probes, 63.5s
OK dac3a4c1-b666-4de0-87e8-8c514483cacf: 394/501 trials, 1221 neurons, 2 probes, 50.3s
OK dc962048-89bb-4e6a-96a9-b062a2be1426: 262/458 trials, 1242 neurons, 2 probes, 46.8s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.75it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.71it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.70it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.34it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.69it/s]OK dfd8e7df-dc51-4589-b6ca-7baccfeb94b4: 371/528 trials, 652 neurons, 1 probes, 23.0s
 67%|██████▋   | 2/3.0 [00:01<00:00,  1.53it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.32it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.06it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.51it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.50it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.31it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.02it/s]
OK dda5fc59-f09a-4256-9fb5-66c67667a466: 436/751 trials, 2250 neurons, 2 probes, 68.5s
OK dd87e278-999d-478b-8cbd-b5bf92b84763: 555/744 trials, 1517 neurons, 2 probes, 69.5s
OK e49d8ee7-24b9-416a-9d04-9be33b655f40: 404/510 trials, 623 neurons, 1 probes, 38.9s
OK e0928e11-2b86-4387-a203-80c77fab5d52: 320/474 trials, 1048 neurons, 2 probes, 46.1s
OK e012d3e3-fdbc-4661-9ffa-5fa284e4e706: 466/705 trials, 1672 neurons, 2 probes, 58.7s
OK dfbe628d-365b-461c-a07f-8b9911ba83aa: 511/753 trials, 1651 neurons, 2 probes, 62.3s
OK e5c772cd-9c92-47ab-9525-d618b66a9b5d: 379/514 trials, 1235 neurons, 1 probes, 42.4s
OK e45481fa-be22-4365-972c-e7404ed8ab5a: 293/525 trials, 1384 neurons, 2 probes, 50.6s
SKIP c728f6fd-58e2-448d-aefb-a72c637b604c: RuntimeError: no left or right whisker motion-energy stream
SKIP c7bd79c9-c47e-4ea5-aea3-74dda991b48e: KeyError: 'probabilityLeft'
OK e535fb62-e245-4a48-b119-88ce62a6fe67: 338/434 trials, 1575 neurons, 2 probes, 50.9s
OK e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1: 698/1065 trials, 1405 neurons, 1 probes, 59.4s
OK e1931de1-cf7b-49af-af33-2ade15e8abe7: 529/688 trials, 1217 neurons, 2 probes, 60.4s
OK e6594a5b-552c-421a-b376-1a1baa9dc4fd: 248/401 trials, 1213 neurons, 1 probes, 21.1s
OK e6043c7d-8f6e-4b66-8309-2ec0abac0f79: 677/911 trials, 758 neurons, 1 probes, 44.7s
OK e2b845a1-e313-4a08-bc61-a5f662ed295e: 290/476 trials, 2681 neurons, 2 probes, 61.3s
OK e56541a5-a6d5-4750-b1fe-f6b5257bfe7c: 346/583 trials, 2199 neurons, 2 probes, 54.0s
OK e5c75b62-6871-4135-b3d0-f6464c2d90c0: 438/581 trials, 1184 neurons, 2 probes, 53.5s
  0%|          | 0/3.0 [00:00<?, ?it/s]OK e6de6c35-1508-4471-b7c3-f12a5c7a6d39: 351/540 trials, 995 neurons, 1 probes, 21.8s
 33%|███▎      | 1/3.0 [00:00<00:01,  1.65it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.82it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.31it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.12it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.31it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.55it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.15it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.90it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.86it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.94it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.53it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.27it/s]
OK e6bdb1f4-b0bf-4451-8f23-4384f2102f91: 456/773 trials, 987 neurons, 1 probes, 31.4s
OK e9fc0a2d-c69d-44d1-9fa3-314782387cae: 232/430 trials, 633 neurons, 1 probes, 21.2s
OK e349a2e7-50a3-47ca-bc45-20d1899854ec: 882/1022 trials, 2377 neurons, 2 probes, 78.6s
SKIP cea755db-4eee-4138-bdd6-fc23a572f5a1: RuntimeError: no left or right whisker motion-energy stream
OK e8b4fda3-7fe4-4706-8ec2-91036cfee6bd: 386/527 trials, 1002 neurons, 2 probes, 37.7s
OK ebc9392c-1ecb-4b4b-a545-4e3d70d23611: 327/496 trials, 1230 neurons, 1 probes, 30.1s
OK ee13c19e-2790-4418-97ca-48f02e8013bb: 231/409 trials, 685 neurons, 1 probes, 29.1s
OK ebce500b-c530-47de-8cb1-963c552703ea: 398/569 trials, 1557 neurons, 1 probes, 37.3s
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.61it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.59it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.12it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.91it/s]
  0%|          | 0/3.0 [00:00<?, ?it/s] 33%|███▎      | 1/3.0 [00:00<00:01,  1.35it/s] 67%|██████▋   | 2/3.0 [00:01<00:00,  1.46it/s]100%|██████████| 3/3.0 [00:01<00:00,  2.15it/s]100%|██████████| 3/3.0 [00:01<00:00,  1.88it/s]
