Processing 152 sessions
[1/152] m11 day 03 Env1_LocationB_to_A: 80/80 trials, 154 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 9.4s
[132/152] m4 day 08 Env1_B_to_Env2_C: 80/80 trials, 1285 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 116.8s
[133/152] m4 day 09 Env2_LocationC: 50/50 trials, 1014 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 116.8s
[134/152] m4 day 10 Env2_LocationC_to_A: 79/80 trials, 1100 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 118.4s
[135/152] m4 day 11 Env2_LocationA: 80/80 trials, 990 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 118.4s
[136/152] m4 day 12 Env2_LocationA_to_B: 80/80 trials, 1038 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 120.4s
[137/152] m4 day 13 Env2_LocationB: 79/80 trials, 876 neurons (10 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 122.1s
[138/152] m4 day 14 Env2_LocationB_to_C: 45/80 trials, 1061 neurons (5 interneurons dropped), drops={'lick_error': 35, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[139/152] m7 day 01 Env1_LocationA: 99/100 trials, 1297 neurons (1 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[140/152] m7 day 02 Env1_LocationA: 80/80 trials, 1186 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[141/152] m7 day 03 Env1_LocationA_to_C: 100/100 trials, 1155 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[142/152] m7 day 04 Env1_LocationC: 79/80 trials, 1013 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[143/152] m7 day 05 Env1_LocationC_to_B: 80/80 trials, 1111 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.3s
[144/152] m7 day 06 Env1_LocationB: 80/80 trials, 1142 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 126.6s
[145/152] m7 day 07 Env1_LocationB_to_A: 100/100 trials, 1020 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 129.0s
[146/152] m7 day 08 Env1_A_to_Env2_B: 99/100 trials, 1034 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 129.6s
[147/152] m7 day 09 Env2_LocationB: 80/80 trials, 900 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 129.6s
[148/152] m7 day 10 Env2_LocationB_to_C: 80/80 trials, 886 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 129.6s
[149/152] m7 day 11 Env2_LocationC: 80/80 trials, 973 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 131.0s
[150/152] m7 day 12 Env2_LocationC_to_A: 100/100 trials, 969 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 131.7s
[151/152] m7 day 13 Env2_LocationA: 80/80 trials, 988 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 131.7s
[152/152] m7 day 14 Env2_LocationA_to_B: 100/100 trials, 1192 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 132.7s

Total: 152 sessions, 12135 trials, 138269 neurons, 11 subjects
Time bin: 64.484 ms
Wrote /app/converted_data.pkl (9.63 GB) in 13.8s; total 147.6s
