Candidate sessions: 459 (sample=False)
behavior 1/459 6713a4a7-faed-4df2-acab-ee4e63326f8d: {'eid': '6713a4a7-faed-4df2-acab-ee4e63326f8d', 'trials': 407, 'side': 'left', 'raw': 565, 'base_valid': 407, 'seconds': 0.3342280387878418}
behavior 117/459 8a1cf4ef-06e3-4c72-9bc7-e1baa189841b: {'eid': '8a1cf4ef-06e3-4c72-9bc7-e1baa189841b', 'trials': 241, 'side': 'left', 'raw': 405, 'base_valid': 241, 'seconds': 0.23638510704040527}
behavior 118/459 687017d4-c9fc-458f-a7d5-0979fe1a7470: {'eid': '687017d4-c9fc-458f-a7d5-0979fe1a7470', 'trials': 257, 'side': 'left', 'raw': 436, 'base_valid': 257, 'seconds': 0.2917354106903076}
behavior 119/459 16693458-0801-4d35-a3f1-9115c7e5acfd: {'eid': '16693458-0801-4d35-a3f1-9115c7e5acfd', 'trials': 353, 'side': 'left', 'raw': 531, 'base_valid': 353, 'seconds': 0.19181513786315918}
behavior 120/459 e1931de1-cf7b-49af-af33-2ade15e8abe7: {'eid': 'e1931de1-cf7b-49af-af33-2ade15e8abe7', 'trials': 529, 'side': 'left', 'raw': 688, 'base_valid': 529, 'seconds': 0.233428955078125}
behavior 121/459 b9c205c3-feac-485b-a89d-afc96d9cb280: {'eid': 'b9c205c3-feac-485b-a89d-afc96d9cb280', 'trials': 410, 'side': 'left', 'raw': 657, 'base_valid': 410, 'seconds': 0.2125072479248047}
behavior 122/459 6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4: {'eid': '6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4', 'trials': 324, 'side': 'left', 'raw': 445, 'base_valid': 324, 'seconds': 0.15322303771972656}
behavior 123/459 16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1: {'eid': '16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1', 'trials': 362, 'side': 'left', 'raw': 553, 'base_valid': 362, 'seconds': 0.1848130226135254}
behavior 124/459 dd87e278-999d-478b-8cbd-b5bf92b84763: {'eid': 'dd87e278-999d-478b-8cbd-b5bf92b84763', 'trials': 555, 'side': 'left', 'raw': 744, 'base_valid': 555, 'seconds': 0.2560462951660156}
behavior 125/459 15f742e1-1043-45c9-9504-f1e8a53c1744: {'eid': '15f742e1-1043-45c9-9504-f1e8a53c1744', 'trials': 482, 'side': 'left', 'raw': 826, 'base_valid': 482, 'seconds': 0.24151611328125}
behavior 126/459 a4000c2f-fa75-4b3e-8f06-a7cf599b87ad: {'eid': 'a4000c2f-fa75-4b3e-8f06-a7cf599b87ad', 'trials': 501, 'side': 'left', 'raw': 653, 'base_valid': 501, 'seconds': 0.23464608192443848}
behavior 127/459 cc45c568-c3b9-4f74-836e-c87762e898c8: {'eid': 'cc45c568-c3b9-4f74-836e-c87762e898c8', 'trials': 524, 'side': 'left', 'raw': 715, 'base_valid': 524, 'seconds': 0.21654844284057617}
behavior 128/459 a92c4b1d-46bd-457e-a1f4-414265f0e2d4: {'eid': 'a92c4b1d-46bd-457e-a1f4-414265f0e2d4', 'trials': 578, 'side': 'left', 'raw': 800, 'base_valid': 578, 'seconds': 0.22799181938171387}
behavior 129/459 aad23144-0e52-4eac-80c5-c4ee2decb198: {'eid': 'aad23144-0e52-4eac-80c5-c4ee2decb198', 'trials': 483, 'side': 'left', 'raw': 641, 'base_valid': 483, 'seconds': 0.2094273567199707}
behavior 130/459 8c552ddc-813e-4035-81cc-3971b57efe65: {'eid': '8c552ddc-813e-4035-81cc-3971b57efe65', 'trials': 329, 'side': 'left', 'raw': 457, 'base_valid': 329, 'seconds': 0.2361898422241211}
behavior 131/459 07dc4b76-5b93-4a03-82a0-b3d9cc73f412: {'eid': '07dc4b76-5b93-4a03-82a0-b3d9cc73f412', 'trials': 441, 'side': 'left', 'raw': 692, 'base_valid': 441, 'seconds': 0.3375234603881836}
behavior 132/459 9468fa93-21ae-4984-955c-e8402e280c83: {'eid': '9468fa93-21ae-4984-955c-e8402e280c83', 'trials': 366, 'side': 'left', 'raw': 514, 'base_valid': 366, 'seconds': 0.28450965881347656}
behavior 133/459 e5c75b62-6871-4135-b3d0-f6464c2d90c0: {'eid': 'e5c75b62-6871-4135-b3d0-f6464c2d90c0', 'trials': 438, 'side': 'left', 'raw': 581, 'base_valid': 439, 'seconds': 0.27794313430786133}
behavior 134/459 a6fe44a8-07ab-49b8-81f9-e18575aa85cc: {'eid': 'a6fe44a8-07ab-49b8-81f9-e18575aa85cc', 'trials': 459, 'side': 'left', 'raw': 786, 'base_valid': 459, 'seconds': 0.3203277587890625}
behavior 135/459 781b35fd-e1f0-4d14-b2bb-95b7263082bb: {'eid': '781b35fd-e1f0-4d14-b2bb-95b7263082bb', 'trials': 323, 'side': 'left', 'raw': 471, 'base_valid': 323, 'seconds': 0.20077896118164062}
EXCLUDE 571d3ffe-54a5-473d-a265-5dc373eb7efc: FileNotFoundError: no matched camera time/motion stream
behavior 137/459 0ac8d013-b91e-4732-bc7b-a1164ff3e445: {'eid': '0ac8d013-b91e-4732-bc7b-a1164ff3e445', 'trials': 674, 'side': 'left', 'raw': 841, 'base_valid': 674, 'seconds': 0.3497803211212158}
behavior 138/459 69c9a415-f7fa-4208-887b-1417c1479b48: {'eid': '69c9a415-f7fa-4208-887b-1417c1479b48', 'trials': 454, 'side': 'left', 'raw': 637, 'base_valid': 454, 'seconds': 0.3024594783782959}
behavior 139/459 dfbe628d-365b-461c-a07f-8b9911ba83aa: {'eid': 'dfbe628d-365b-461c-a07f-8b9911ba83aa', 'trials': 511, 'side': 'left', 'raw': 753, 'base_valid': 511, 'seconds': 0.35372233390808105}
behavior 140/459 aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf: {'eid': 'aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf', 'trials': 484, 'side': 'left', 'raw': 656, 'base_valid': 484, 'seconds': 0.29663586616516113}
behavior 141/459 0a018f12-ee06-4b11-97aa-bbbff5448e9f: {'eid': '0a018f12-ee06-4b11-97aa-bbbff5448e9f', 'trials': 306, 'side': 'left', 'raw': 478, 'base_valid': 307, 'seconds': 0.2175886631011963}
behavior 142/459 4503697e-af44-47d9-898d-4924be990240: {'eid': '4503697e-af44-47d9-898d-4924be990240', 'trials': 304, 'side': 'left', 'raw': 415, 'base_valid': 304, 'seconds': 0.265549898147583}
EXCLUDE 7082d8ff-255a-47d7-a839-bf093483ec30: FileNotFoundError: no matched camera time/motion stream
EXCLUDE ac7d3064-7f09-48a3-88d2-e86a4eb86461: FileNotFoundError: no matched camera time/motion stream
behavior 145/459 b22f694e-4a34-4142-ab9d-2556c3487086: {'eid': 'b22f694e-4a34-4142-ab9d-2556c3487086', 'trials': 315, 'side': 'left', 'raw': 480, 'base_valid': 316, 'seconds': 0.2169790267944336}
EXCLUDE 872ce8ff-9fb3-485c-be00-bc5479e0095b: FileNotFoundError: no matched camera time/motion stream
behavior 147/459 1b715600-0cbc-442c-bd00-5b0ac2865de1: {'eid': '1b715600-0cbc-442c-bd00-5b0ac2865de1', 'trials': 248, 'side': 'left', 'raw': 437, 'base_valid': 248, 'seconds': 0.2801196575164795}
behavior 148/459 e45481fa-be22-4365-972c-e7404ed8ab5a: {'eid': 'e45481fa-be22-4365-972c-e7404ed8ab5a', 'trials': 293, 'side': 'left', 'raw': 525, 'base_valid': 293, 'seconds': 0.36444616317749023}
behavior 149/459 ffef0311-8ffa-49e3-a857-b3adf6d86e12: {'eid': 'ffef0311-8ffa-49e3-a857-b3adf6d86e12', 'trials': 401, 'side': 'left', 'raw': 578, 'base_valid': 401, 'seconds': 0.28708910942077637}
behavior 150/459 78b4fff5-c5ec-44d9-b5f9-d59493063f00: {'eid': '78b4fff5-c5ec-44d9-b5f9-d59493063f00', 'trials': 627, 'side': 'left', 'raw': 892, 'base_valid': 627, 'seconds': 0.35527992248535156}
behavior 151/459 196a2adf-ff83-49b2-823a-33f990049c2e: {'eid': '196a2adf-ff83-49b2-823a-33f990049c2e', 'trials': 395, 'side': 'left', 'raw': 600, 'base_valid': 395, 'seconds': 0.23456835746765137}
behavior 152/459 6b0b5d24-bcda-4053-a59c-beaa1fe03b8f: {'eid': '6b0b5d24-bcda-4053-a59c-beaa1fe03b8f', 'trials': 410, 'side': 'left', 'raw': 684, 'base_valid': 410, 'seconds': 0.30262231826782227}
behavior 153/459 752456f3-9f47-4fbf-bd44-9d131c0f41aa: {'eid': '752456f3-9f47-4fbf-bd44-9d131c0f41aa', 'trials': 297, 'side': 'left', 'raw': 511, 'base_valid': 297, 'seconds': 0.2988927364349365}
behavior 154/459 3f859b5c-e73a-4044-b49e-34bb81e96715: {'eid': '3f859b5c-e73a-4044-b49e-34bb81e96715', 'trials': 326, 'side': 'left', 'raw': 490, 'base_valid': 326, 'seconds': 0.2562124729156494}
behavior 155/459 c8d46ee6-eb68-4535-8756-7c9aa32f10e4: {'eid': 'c8d46ee6-eb68-4535-8756-7c9aa32f10e4', 'trials': 326, 'side': 'left', 'raw': 480, 'base_valid': 326, 'seconds': 0.21629118919372559}
behavior 156/459 1b9e349e-93f2-41cc-a4b5-b212d7ddc8df: {'eid': '1b9e349e-93f2-41cc-a4b5-b212d7ddc8df', 'trials': 926, 'side': 'left', 'raw': 1140, 'base_valid': 926, 'seconds': 0.4118046760559082}
behavior 157/459 f819d499-8bf7-4da0-a431-15377a8319d5: {'eid': 'f819d499-8bf7-4da0-a431-15377a8319d5', 'trials': 254, 'side': 'left', 'raw': 441, 'base_valid': 254, 'seconds': 0.25989699363708496}
behavior 158/459 8928f98a-b411-497e-aa4b-aa752434686d: {'eid': '8928f98a-b411-497e-aa4b-aa752434686d', 'trials': 470, 'side': 'left', 'raw': 663, 'base_valid': 470, 'seconds': 0.2822690010070801}
behavior 159/459 446f4724-1690-49f9-819a-2bd8e2ea88ce: {'eid': '446f4724-1690-49f9-819a-2bd8e2ea88ce', 'trials': 532, 'side': 'left', 'raw': 701, 'base_valid': 532, 'seconds': 0.27254319190979004}
behavior 160/459 a2701b93-d8e1-47e9-a819-f1063046f3e7: {'eid': 'a2701b93-d8e1-47e9-a819-f1063046f3e7', 'trials': 412, 'side': 'left', 'raw': 515, 'base_valid': 412, 'seconds': 0.20697855949401855}
behavior 161/459 0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9: {'eid': '0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9', 'trials': 288, 'side': 'left', 'raw': 471, 'base_valid': 288, 'seconds': 0.20415997505187988}
behavior 162/459 ee13c19e-2790-4418-97ca-48f02e8013bb: {'eid': 'ee13c19e-2790-4418-97ca-48f02e8013bb', 'trials': 231, 'side': 'left', 'raw': 409, 'base_valid': 231, 'seconds': 0.2629392147064209}
behavior 163/459 db4df448-e449-4a6f-a0e7-288711e7a75a: {'eid': 'db4df448-e449-4a6f-a0e7-288711e7a75a', 'trials': 288, 'side': 'left', 'raw': 402, 'base_valid': 288, 'seconds': 0.18767023086547852}
behavior 164/459 3dd347df-f14e-40d5-9ff2-9c49f84d2157: {'eid': '3dd347df-f14e-40d5-9ff2-9c49f84d2157', 'trials': 237, 'side': 'left', 'raw': 401, 'base_valid': 237, 'seconds': 0.26426172256469727}
behavior 165/459 3c851386-e92d-4533-8d55-89a46f0e7384: {'eid': '3c851386-e92d-4533-8d55-89a46f0e7384', 'trials': 268, 'side': 'left', 'raw': 403, 'base_valid': 268, 'seconds': 0.20252370834350586}
behavior 166/459 158d5d35-a2ab-4a76-87b0-51048c5d5283: {'eid': '158d5d35-a2ab-4a76-87b0-51048c5d5283', 'trials': 261, 'side': 'left', 'raw': 401, 'base_valid': 261, 'seconds': 0.20618557929992676}
behavior 167/459 30e5937e-e86a-47e6-93ae-d2ae3877ff8e: {'eid': '30e5937e-e86a-47e6-93ae-d2ae3877ff8e', 'trials': 320, 'side': 'left', 'raw': 424, 'base_valid': 320, 'seconds': 0.18119430541992188}
behavior 168/459 413a6825-2144-4a50-b3fc-cf38ddd6fd1a: {'eid': '413a6825-2144-4a50-b3fc-cf38ddd6fd1a', 'trials': 326, 'side': 'left', 'raw': 456, 'base_valid': 326, 'seconds': 0.20788002014160156}
behavior 169/459 a19c7a3a-7261-42ce-95d5-1f4ca46007ed: {'eid': 'a19c7a3a-7261-42ce-95d5-1f4ca46007ed', 'trials': 392, 'side': 'left', 'raw': 479, 'base_valid': 392, 'seconds': 0.18674015998840332}
behavior 170/459 e5c772cd-9c92-47ab-9525-d618b66a9b5d: {'eid': 'e5c772cd-9c92-47ab-9525-d618b66a9b5d', 'trials': 379, 'side': 'left', 'raw': 514, 'base_valid': 379, 'seconds': 0.21353554725646973}
behavior 171/459 6668c4a0-70a4-4012-a7da-709660971d7a: {'eid': '6668c4a0-70a4-4012-a7da-709660971d7a', 'trials': 304, 'side': 'left', 'raw': 427, 'base_valid': 304, 'seconds': 0.21341419219970703}
behavior 172/459 4fa70097-8101-4f10-b585-db39429c5ed0: {'eid': '4fa70097-8101-4f10-b585-db39429c5ed0', 'trials': 335, 'side': 'left', 'raw': 485, 'base_valid': 335, 'seconds': 0.20290851593017578}
behavior 173/459 90d1e82c-c96f-496c-ad4e-ee3f02067f25: {'eid': '90d1e82c-c96f-496c-ad4e-ee3f02067f25', 'trials': 387, 'side': 'left', 'raw': 541, 'base_valid': 387, 'seconds': 0.2247481346130371}
behavior 174/459 bb6a5aae-2431-401d-8f6a-9fdd6de655a9: {'eid': 'bb6a5aae-2431-401d-8f6a-9fdd6de655a9', 'trials': 273, 'side': 'left', 'raw': 415, 'base_valid': 273, 'seconds': 0.19778800010681152}
behavior 175/459 931a70ae-90ee-448e-bedb-9d41f3eda647: {'eid': '931a70ae-90ee-448e-bedb-9d41f3eda647', 'trials': 380, 'side': 'left', 'raw': 501, 'base_valid': 380, 'seconds': 0.19216156005859375}
behavior 176/459 02fbb6da-3034-47d6-a61b-7d06c796a830: {'eid': '02fbb6da-3034-47d6-a61b-7d06c796a830', 'trials': 446, 'side': 'left', 'raw': 646, 'base_valid': 446, 'seconds': 0.2329082489013672}
behavior 177/459 7bee9f09-a238-42cf-b499-f51f765c6ded: {'eid': '7bee9f09-a238-42cf-b499-f51f765c6ded', 'trials': 348, 'side': 'left', 'raw': 449, 'base_valid': 348, 'seconds': 0.19544553756713867}
behavior 178/459 36280321-555b-446d-9b7d-c2e17991e090: {'eid': '36280321-555b-446d-9b7d-c2e17991e090', 'trials': 427, 'side': 'left', 'raw': 556, 'base_valid': 427, 'seconds': 0.2628669738769531}
behavior 179/459 741979ce-3f10-443a-8526-2275620c8473: {'eid': '741979ce-3f10-443a-8526-2275620c8473', 'trials': 518, 'side': 'left', 'raw': 617, 'base_valid': 518, 'seconds': 0.22662806510925293}
behavior 180/459 cf43dbb1-6992-40ec-a5f9-e8e838d0f643: {'eid': 'cf43dbb1-6992-40ec-a5f9-e8e838d0f643', 'trials': 316, 'side': 'left', 'raw': 402, 'base_valid': 317, 'seconds': 0.19870877265930176}
behavior 181/459 2f63c555-eb74-4d8d-ada5-5c3ecf3b46be: {'eid': '2f63c555-eb74-4d8d-ada5-5c3ecf3b46be', 'trials': 255, 'side': 'left', 'raw': 407, 'base_valid': 255, 'seconds': 0.2676258087158203}
behavior 182/459 9a629642-3a9c-42ed-b70a-532db0e86199: {'eid': '9a629642-3a9c-42ed-b70a-532db0e86199', 'trials': 267, 'side': 'left', 'raw': 401, 'base_valid': 267, 'seconds': 0.23766684532165527}
behavior 183/459 e535fb62-e245-4a48-b119-88ce62a6fe67: {'eid': 'e535fb62-e245-4a48-b119-88ce62a6fe67', 'trials': 338, 'side': 'left', 'raw': 434, 'base_valid': 338, 'seconds': 0.21238446235656738}
behavior 184/459 f25642c6-27a5-4a97-9ea0-06652db79fbd: {'eid': 'f25642c6-27a5-4a97-9ea0-06652db79fbd', 'trials': 327, 'side': 'left', 'raw': 403, 'base_valid': 328, 'seconds': 0.2251594066619873}
behavior 185/459 4720c98a-a305-4fba-affb-bbfa00a724a4: {'eid': '4720c98a-a305-4fba-affb-bbfa00a724a4', 'trials': 532, 'side': 'left', 'raw': 608, 'base_valid': 532, 'seconds': 0.2956962585449219}
behavior 186/459 7622da34-51b6-4661-98ae-a57d40806008: {'eid': '7622da34-51b6-4661-98ae-a57d40806008', 'trials': 461, 'side': 'left', 'raw': 585, 'base_valid': 461, 'seconds': 0.28026819229125977}
behavior 187/459 b658bc7d-07cd-4203-8a25-7b16b549851b: {'eid': 'b658bc7d-07cd-4203-8a25-7b16b549851b', 'trials': 794, 'side': 'left', 'raw': 925, 'base_valid': 794, 'seconds': 0.3248176574707031}
behavior 188/459 bd456d8f-d36e-434a-8051-ff3997253802: {'eid': 'bd456d8f-d36e-434a-8051-ff3997253802', 'trials': 507, 'side': 'left', 'raw': 630, 'base_valid': 507, 'seconds': 0.3017995357513428}
behavior 189/459 ee8b36de-779f-4dea-901f-e0141c95722b: {'eid': 'ee8b36de-779f-4dea-901f-e0141c95722b', 'trials': 419, 'side': 'left', 'raw': 553, 'base_valid': 419, 'seconds': 0.27344751358032227}
behavior 190/459 b39752db-abdb-47ab-ae78-e8608bbf50ed: {'eid': 'b39752db-abdb-47ab-ae78-e8608bbf50ed', 'trials': 490, 'side': 'left', 'raw': 636, 'base_valid': 490, 'seconds': 0.2843046188354492}
behavior 191/459 5339812f-8b91-40ba-9d8f-a559563cc46b: {'eid': '5339812f-8b91-40ba-9d8f-a559563cc46b', 'trials': 285, 'side': 'left', 'raw': 438, 'base_valid': 285, 'seconds': 0.22260308265686035}
behavior 192/459 d23a44ef-1402-4ed7-97f5-47e9a7a504d9: {'eid': 'd23a44ef-1402-4ed7-97f5-47e9a7a504d9', 'trials': 286, 'side': 'left', 'raw': 410, 'base_valid': 286, 'seconds': 0.2085421085357666}
behavior 193/459 c3d9b6fb-7fa9-4413-a364-92a54df0fc5d: {'eid': 'c3d9b6fb-7fa9-4413-a364-92a54df0fc5d', 'trials': 374, 'side': 'left', 'raw': 587, 'base_valid': 375, 'seconds': 0.28148961067199707}
behavior 194/459 aa20388b-9ea3-4506-92f1-3c2be84b85db: {'eid': 'aa20388b-9ea3-4506-92f1-3c2be84b85db', 'trials': 305, 'side': 'left', 'raw': 519, 'base_valid': 305, 'seconds': 0.261676549911499}
behavior 195/459 251ece37-7798-477c-8a06-2845d4aa270c: {'eid': '251ece37-7798-477c-8a06-2845d4aa270c', 'trials': 356, 'side': 'left', 'raw': 507, 'base_valid': 356, 'seconds': 0.2206573486328125}
behavior 196/459 54238fd6-d2d0-4408-b1a9-d19d24fd29ce: {'eid': '54238fd6-d2d0-4408-b1a9-d19d24fd29ce', 'trials': 427, 'side': 'left', 'raw': 623, 'base_valid': 428, 'seconds': 0.2657642364501953}
behavior 197/459 e8b4fda3-7fe4-4706-8ec2-91036cfee6bd: {'eid': 'e8b4fda3-7fe4-4706-8ec2-91036cfee6bd', 'trials': 386, 'side': 'left', 'raw': 527, 'base_valid': 386, 'seconds': 0.2095491886138916}
behavior 198/459 cde63527-7f5a-4cc3-8ac2-215d82e7da26: {'eid': 'cde63527-7f5a-4cc3-8ac2-215d82e7da26', 'trials': 407, 'side': 'left', 'raw': 508, 'base_valid': 407, 'seconds': 0.20830249786376953}
behavior 199/459 4a45c8ba-db6f-4f11-9403-56e06a33dfa4: {'eid': '4a45c8ba-db6f-4f11-9403-56e06a33dfa4', 'trials': 209, 'side': 'left', 'raw': 401, 'base_valid': 210, 'seconds': 0.275754451751709}
behavior 200/459 f7335a49-4a98-46d2-a8ce-d041d2eac1d6: {'eid': 'f7335a49-4a98-46d2-a8ce-d041d2eac1d6', 'trials': 185, 'side': 'left', 'raw': 402, 'base_valid': 185, 'seconds': 0.26275634765625}
behavior 201/459 9eec761e-9762-4897-b308-a3a08c311e69: {'eid': '9eec761e-9762-4897-b308-a3a08c311e69', 'trials': 493, 'side': 'left', 'raw': 744, 'base_valid': 493, 'seconds': 0.2954840660095215}
behavior 202/459 9fe512b8-92a8-4642-83b6-01158ab66c3c: {'eid': '9fe512b8-92a8-4642-83b6-01158ab66c3c', 'trials': 501, 'side': 'left', 'raw': 757, 'base_valid': 501, 'seconds': 0.3357114791870117}
behavior 203/459 26aa51ff-968c-42e4-85c8-8ff47d19254d: {'eid': '26aa51ff-968c-42e4-85c8-8ff47d19254d', 'trials': 338, 'side': 'left', 'raw': 534, 'base_valid': 338, 'seconds': 0.2583808898925781}
behavior 204/459 e012d3e3-fdbc-4661-9ffa-5fa284e4e706: {'eid': 'e012d3e3-fdbc-4661-9ffa-5fa284e4e706', 'trials': 466, 'side': 'left', 'raw': 705, 'base_valid': 467, 'seconds': 0.30078744888305664}
behavior 205/459 948fd27b-507b-41b3-bdf8-f9f5f0af8e0b: {'eid': '948fd27b-507b-41b3-bdf8-f9f5f0af8e0b', 'trials': 383, 'side': 'left', 'raw': 604, 'base_valid': 383, 'seconds': 0.2857325077056885}
behavior 206/459 2e22c1fc-eec6-4856-85a0-7dba8668f646: {'eid': '2e22c1fc-eec6-4856-85a0-7dba8668f646', 'trials': 349, 'side': 'left', 'raw': 567, 'base_valid': 349, 'seconds': 0.2767825126647949}
behavior 207/459 64977c74-9c04-437a-9ea1-50386c4996db: {'eid': '64977c74-9c04-437a-9ea1-50386c4996db', 'trials': 498, 'side': 'left', 'raw': 817, 'base_valid': 498, 'seconds': 0.2902514934539795}
behavior 208/459 9a6e127b-bb07-4be2-92e2-53dd858c2762: {'eid': '9a6e127b-bb07-4be2-92e2-53dd858c2762', 'trials': 434, 'side': 'left', 'raw': 653, 'base_valid': 434, 'seconds': 0.18292737007141113}
behavior 209/459 09156021-9a1d-4e1d-ae59-48cbde3c5d42: {'eid': '09156021-9a1d-4e1d-ae59-48cbde3c5d42', 'trials': 431, 'side': 'left', 'raw': 630, 'base_valid': 431, 'seconds': 0.1880171298980713}
behavior 210/459 90e524a2-aa63-47ce-b5b8-1b1941a1223a: {'eid': '90e524a2-aa63-47ce-b5b8-1b1941a1223a', 'trials': 331, 'side': 'left', 'raw': 419, 'base_valid': 331, 'seconds': 0.1746528148651123}
behavior 211/459 1d4a7bd6-296a-48b9-b20e-bd0ac80750a5: {'eid': '1d4a7bd6-296a-48b9-b20e-bd0ac80750a5', 'trials': 232, 'side': 'left', 'raw': 417, 'base_valid': 232, 'seconds': 0.2133324146270752}
behavior 212/459 58c4bf97-ec3b-45b4-9db4-d5d9515d5b00: {'eid': '58c4bf97-ec3b-45b4-9db4-d5d9515d5b00', 'trials': 244, 'side': 'left', 'raw': 426, 'base_valid': 244, 'seconds': 0.1908726692199707}
behavior 213/459 10fac7a1-919d-4ca7-83c4-4675bd8d9416: {'eid': '10fac7a1-919d-4ca7-83c4-4675bd8d9416', 'trials': 396, 'side': 'left', 'raw': 546, 'base_valid': 396, 'seconds': 0.20856595039367676}
behavior 214/459 8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef: {'eid': '8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef', 'trials': 288, 'side': 'left', 'raw': 401, 'base_valid': 288, 'seconds': 0.2747814655303955}
behavior 215/459 68775ca0-b056-48d5-b6ae-a4c2a76ae48f: {'eid': '68775ca0-b056-48d5-b6ae-a4c2a76ae48f', 'trials': 563, 'side': 'left', 'raw': 817, 'base_valid': 563, 'seconds': 0.33300280570983887}
behavior 216/459 f27e6cd6-cdd3-4524-b8e3-8146046e2a7d: {'eid': 'f27e6cd6-cdd3-4524-b8e3-8146046e2a7d', 'trials': 284, 'side': 'left', 'raw': 419, 'base_valid': 284, 'seconds': 0.20409679412841797}
behavior 217/459 d71e565d-4ddb-42df-849e-f99cfdeced52: {'eid': 'd71e565d-4ddb-42df-849e-f99cfdeced52', 'trials': 389, 'side': 'left', 'raw': 600, 'base_valid': 390, 'seconds': 0.2653217315673828}
behavior 218/459 1b61b7f2-a599-4e40-abd6-3e758d2c9e25: {'eid': '1b61b7f2-a599-4e40-abd6-3e758d2c9e25', 'trials': 537, 'side': 'left', 'raw': 875, 'base_valid': 537, 'seconds': 0.3038966655731201}
EXCLUDE cea755db-4eee-4138-bdd6-fc23a572f5a1: FileNotFoundError: no matched camera time/motion stream
behavior 220/459 30af8629-7b96-45b7-8778-374720ddbc5e: {'eid': '30af8629-7b96-45b7-8778-374720ddbc5e', 'trials': 304, 'side': 'left', 'raw': 416, 'base_valid': 304, 'seconds': 0.2284860610961914}
behavior 221/459 283ecb4c-e529-409c-9f0a-8ea5191dcf50: {'eid': '283ecb4c-e529-409c-9f0a-8ea5191dcf50', 'trials': 330, 'side': 'left', 'raw': 487, 'base_valid': 330, 'seconds': 0.25632286071777344}
behavior 222/459 6bf810fd-fbeb-4eea-9ea7-b6791d002b22: {'eid': '6bf810fd-fbeb-4eea-9ea7-b6791d002b22', 'trials': 328, 'side': 'left', 'raw': 489, 'base_valid': 328, 'seconds': 0.2166461944580078}
behavior 223/459 bd07e3a7-09c3-4b67-996b-42b6d5cedf1c: {'eid': 'bd07e3a7-09c3-4b67-996b-42b6d5cedf1c', 'trials': 385, 'side': 'left', 'raw': 473, 'base_valid': 385, 'seconds': 0.22455787658691406}
behavior 224/459 c16d3557-b2c1-4545-93d0-112ac0915d93: {'eid': 'c16d3557-b2c1-4545-93d0-112ac0915d93', 'trials': 388, 'side': 'left', 'raw': 532, 'base_valid': 388, 'seconds': 0.2684156894683838}
behavior 225/459 2038e95d-64d4-4ecb-83d0-1308d3c598f8: {'eid': '2038e95d-64d4-4ecb-83d0-1308d3c598f8', 'trials': 346, 'side': 'left', 'raw': 535, 'base_valid': 346, 'seconds': 0.2571134567260742}
behavior 226/459 500a71dd-8768-4211-a1fe-1fafc9fcbf29: {'eid': '500a71dd-8768-4211-a1fe-1fafc9fcbf29', 'trials': 284, 'side': 'left', 'raw': 408, 'base_valid': 284, 'seconds': 0.17241525650024414}
behavior 227/459 61caa69d-088b-465a-b9d0-d75341dabac6: {'eid': '61caa69d-088b-465a-b9d0-d75341dabac6', 'trials': 319, 'side': 'left', 'raw': 504, 'base_valid': 319, 'seconds': 0.22381901741027832}
behavior 228/459 233617ec-c5cf-4eda-afc8-3b1d94f36d73: {'eid': '233617ec-c5cf-4eda-afc8-3b1d94f36d73', 'trials': 361, 'side': 'left', 'raw': 444, 'base_valid': 361, 'seconds': 0.22785472869873047}
behavior 229/459 ef38e503-dd79-4185-bf87-4712d4f274fe: {'eid': 'ef38e503-dd79-4185-bf87-4712d4f274fe', 'trials': 294, 'side': 'left', 'raw': 577, 'base_valid': 294, 'seconds': 0.2789156436920166}
behavior 230/459 fbd28ea6-3251-48e0-b215-2c51ec5185f7: {'eid': 'fbd28ea6-3251-48e0-b215-2c51ec5185f7', 'trials': 277, 'side': 'left', 'raw': 629, 'base_valid': 277, 'seconds': 0.27445507049560547}
behavior 231/459 9fcbd1a0-77e6-4c41-9428-eeaee74becd5: {'eid': '9fcbd1a0-77e6-4c41-9428-eeaee74becd5', 'trials': 243, 'side': 'left', 'raw': 522, 'base_valid': 243, 'seconds': 0.26541852951049805}
behavior 232/459 c23b4118-db40-4333-af1d-933154b533c6: {'eid': 'c23b4118-db40-4333-af1d-933154b533c6', 'trials': 194, 'side': 'left', 'raw': 457, 'base_valid': 194, 'seconds': 0.20962905883789062}
behavior 233/459 c8e11fd8-d130-4f06-abba-9aa20240ce7c: {'eid': 'c8e11fd8-d130-4f06-abba-9aa20240ce7c', 'trials': 265, 'side': 'left', 'raw': 632, 'base_valid': 265, 'seconds': 0.26004695892333984}
behavior 234/459 62902992-8432-46fb-af12-6392012e58c7: {'eid': '62902992-8432-46fb-af12-6392012e58c7', 'trials': 375, 'side': 'left', 'raw': 659, 'base_valid': 375, 'seconds': 0.26998329162597656}
