converting 459 sessions with 24 workers
[1/459] 21d21fc3-4201-4edc-802a-c67b61952548   61u  369tr   3.0s (elapsed 0.1m, eta 25.9m)
[219/459] fbd28ea6-3251-48e0-b215-2c51ec5185f7   41u  277tr   1.8s (elapsed 0.7m, eta 0.7m)
[220/459] 9fcbd1a0-77e6-4c41-9428-eeaee74becd5   16u  243tr   1.9s (elapsed 0.7m, eta 0.7m)
[221/459] SKIP cea755db-4eee-4138-bdd6-fc23a572f5a1: RuntimeError: no whisker motion energy (left or right)
[222/459] 283ecb4c-e529-409c-9f0a-8ea5191dcf50   42u  330tr   3.1s (elapsed 0.7m, eta 0.7m)
[223/459] 500a71dd-8768-4211-a1fe-1fafc9fcbf29   35u  284tr   2.2s (elapsed 0.7m, eta 0.7m)
[224/459] 233617ec-c5cf-4eda-afc8-3b1d94f36d73   74u  361tr   2.5s (elapsed 0.7m, eta 0.7m)
[225/459] 4546cd60-fa2a-4d20-a9b6-d091e01d16f2   16u  310tr   2.1s (elapsed 0.7m, eta 0.7m)
[226/459] 62902992-8432-46fb-af12-6392012e58c7   34u  375tr   2.4s (elapsed 0.7m, eta 0.7m)
[227/459] 75db708a-9952-4452-a5b1-a851d88f8e28   30u  311tr   2.2s (elapsed 0.7m, eta 0.7m)
[228/459] c23b4118-db40-4333-af1d-933154b533c6   48u  194tr   2.5s (elapsed 0.7m, eta 0.7m)
[229/459] cef05f87-161b-4031-932c-6f47daf89698  112u  346tr   2.3s (elapsed 0.7m, eta 0.7m)
[230/459] 2038e95d-64d4-4ecb-83d0-1308d3c598f8  126u  346tr   3.0s (elapsed 0.7m, eta 0.7m)
[231/459] 7f150b7c-c261-46e6-9edb-cc391c9d9f03   81u  341tr   2.4s (elapsed 0.7m, eta 0.7m)
[232/459] d71e565d-4ddb-42df-849e-f99cfdeced52   94u  389tr   4.7s (elapsed 0.7m, eta 0.7m)
[233/459] c16d3557-b2c1-4545-93d0-112ac0915d93  138u  388tr   3.7s (elapsed 0.7m, eta 0.7m)
[234/459] 61caa69d-088b-465a-b9d0-d75341dabac6  105u  319tr   3.5s (elapsed 0.7m, eta 0.7m)
[235/459] c8e11fd8-d130-4f06-abba-9aa20240ce7c   94u  265tr   3.1s (elapsed 0.7m, eta 0.7m)
[236/459] 9fc31d79-b56f-46d0-92a0-e9563caf4a7a   67u  278tr   2.0s (elapsed 0.7m, eta 0.7m)
[237/459] 6bf810fd-fbeb-4eea-9ea7-b6791d002b22  111u  328tr   4.4s (elapsed 0.7m, eta 0.7m)
[238/459] a34b4013-414b-42ed-9318-e93fbbc71e7b   31u  269tr   2.1s (elapsed 0.7m, eta 0.7m)
[239/459] ef38e503-dd79-4185-bf87-4712d4f274fe   95u  294tr   3.6s (elapsed 0.7m, eta 0.7m)
[240/459] 2ab7d2c2-bcb7-4ae6-9626-f3786c22d970   32u  307tr   1.8s (elapsed 0.7m, eta 0.6m)
[241/459] bd07e3a7-09c3-4b67-996b-42b6d5cedf1c  109u  385tr   4.6s (elapsed 0.7m, eta 0.6m)
[242/459] 87ad026d-5b95-4022-8d59-c260870d830f   45u  589tr   1.9s (elapsed 0.7m, eta 0.6m)
[243/459] 5437ec1f-6535-470c-80b8-4c8806ee085d   36u  258tr   1.6s (elapsed 0.7m, eta 0.6m)
[244/459] 837b4e6a-ccfd-49b0-a1dd-3aa53fbf2ecb   78u  344tr   3.6s (elapsed 0.7m, eta 0.6m)
[245/459] 49250fba-801c-4867-a0a7-a1e19538cb61   22u  378tr   2.9s (elapsed 0.7m, eta 0.6m)
[246/459] 94dabed1-741c-4ddd-a6b7-70561e27b750   76u  382tr   2.6s (elapsed 0.7m, eta 0.6m)
[247/459] 37ac03f1-9831-4a30-90fc-a59e635b98bd   71u  309tr   2.4s (elapsed 0.7m, eta 0.6m)
[248/459] 6cbeead9-bb7a-40e1-8ccd-47ae60239654   55u  324tr   2.0s (elapsed 0.7m, eta 0.6m)
[249/459] a2b9fbbe-79fc-4166-a16e-b307813a2f06   84u  264tr   2.2s (elapsed 0.7m, eta 0.6m)
[250/459] d23b005f-46f5-4fe1-870c-f55f6eb9533d  150u  415tr   2.3s (elapsed 0.7m, eta 0.6m)
[251/459] be164a14-6e73-42c3-ab60-d29c48693c0f  189u  251tr   3.2s (elapsed 0.7m, eta 0.6m)
[252/459] 3bb54985-77b2-421d-9d1f-46185be51216   10u  453tr   2.7s (elapsed 0.7m, eta 0.6m)
[253/459] 0cf6d255-8f2f-463e-84fb-c54bacb79f51  104u  444tr   1.8s (elapsed 0.7m, eta 0.6m)
[254/459] 36573e0b-ddd6-4504-94ec-9a23c877486c   50u  278tr   2.8s (elapsed 0.7m, eta 0.6m)
[255/459] 62ff920c-2fdd-4feb-9d9f-0d66f2e595a1   93u  356tr   2.2s (elapsed 0.7m, eta 0.6m)
[256/459] 7235b10c-6621-44ea-abe9-01559633472d  157u  358tr   2.7s (elapsed 0.7m, eta 0.6m)
[257/459] 6ab9d98c-b1e9-4574-b8fe-b9eec88097e0  135u  617tr   2.4s (elapsed 0.7m, eta 0.6m)
[258/459] 7eeb8423-49e6-4d40-ab6f-703d17af231a   42u  445tr   2.4s (elapsed 0.7m, eta 0.6m)
[259/459] 04749a70-ac63-477d-8392-d4d529184fab   56u  348tr   3.1s (elapsed 0.7m, eta 0.6m)
[260/459] 37bbc17f-8dec-4fa8-97fd-e23a5c6bad1f   39u  480tr   2.4s (elapsed 0.7m, eta 0.6m)
[261/459] c02e5155-8e8f-427e-873d-d61490bbb9c3   12u  592tr   2.5s (elapsed 0.8m, eta 0.6m)
[262/459] fd03d365-91df-41e2-ad81-9e0e4b9f5c7b  191u  383tr   3.2s (elapsed 0.8m, eta 0.6m)
[263/459] e6de6c35-1508-4471-b7c3-f12a5c7a6d39   58u  351tr   2.7s (elapsed 0.8m, eta 0.6m)
[264/459] 2584ce3c-db10-4076-89cb-5d313138dd38  247u  428tr   2.4s (elapsed 0.8m, eta 0.6m)
[265/459] 14127fdb-2e66-4823-b124-f49c128ba94d  150u  370tr   3.8s (elapsed 0.8m, eta 0.6m)
[266/459] 6fb1e12c-883b-46d1-a745-473cde3232c8  149u  317tr   2.2s (elapsed 0.8m, eta 0.6m)
[267/459] f3ce3197-d534-4618-bf81-b687555d1883   82u  697tr   3.0s (elapsed 0.8m, eta 0.6m)
[268/459] e6bdb1f4-b0bf-4451-8f23-4384f2102f91   69u  456tr   3.4s (elapsed 0.8m, eta 0.6m)
[269/459] a4747ac8-6a75-444f-b99b-696fff0243fd    9u  338tr   1.7s (elapsed 0.8m, eta 0.6m)
[270/459] 88d24c31-52e4-49cc-9f32-6adbeb9eba87  160u  319tr   2.8s (elapsed 0.8m, eta 0.5m)
[271/459] 66d98e6e-bcd9-4e78-8fbb-636f7e808b29   62u  379tr   3.8s (elapsed 0.8m, eta 0.5m)
[272/459] c6db3304-c906-400c-aa0f-45dd3945b2ea   95u  529tr   3.8s (elapsed 0.8m, eta 0.6m)
[273/459] 1dbba733-24a4-4400-9436-53f1bd8428e8  250u  406tr   5.1s (elapsed 0.8m, eta 0.5m)
[274/459] 9e9c6fc0-4769-4d83-9ea4-b59a1230510e   98u  610tr   3.0s (elapsed 0.8m, eta 0.5m)
[275/459] f4ffb731-8349-4fe4-806e-0232a84e52dd   11u  708tr   3.7s (elapsed 0.8m, eta 0.5m)
[276/459] 6f09ba7e-e3ce-44b0-932b-c003fb44fb89  249u  411tr   5.1s (elapsed 0.8m, eta 0.5m)
[277/459] 98e0074c-706a-40e5-bbb5-223f97585a99   64u  531tr   6.1s (elapsed 0.8m, eta 0.5m)
[278/459] 695a6073-eae0-49e0-bb0f-e9e57a9275b9   98u  466tr   4.8s (elapsed 0.8m, eta 0.5m)
[279/459] 875c1e5c-f7ec-45ac-ab82-ecfe7276a707   67u  608tr   4.3s (elapsed 0.8m, eta 0.5m)
[280/459] f9860a11-24d3-452e-ab95-39e199f20a93  155u  257tr   5.5s (elapsed 0.8m, eta 0.5m)
[281/459] 360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7  147u  367tr   4.3s (elapsed 0.8m, eta 0.5m)
[282/459] 63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871   89u  322tr   3.1s (elapsed 0.8m, eta 0.5m)
[283/459] dac3a4c1-b666-4de0-87e8-8c514483cacf  102u  394tr   5.1s (elapsed 0.8m, eta 0.5m)
[284/459] f5591ac5-311d-4fa8-9bad-029d7be9c491   33u  533tr   3.4s (elapsed 0.8m, eta 0.5m)
[285/459] 3f6e25ae-c007-4dc3-aa77-450fd5705046  133u  216tr   1.9s (elapsed 0.8m, eta 0.5m)
[286/459] 9b5a1754-ac99-4d53-97d3-35c2f6638507   94u  274tr   2.1s (elapsed 0.8m, eta 0.5m)
[287/459] 71e03be6-b497-4991-a121-9416dcc1a6e7  134u  488tr   2.6s (elapsed 0.8m, eta 0.5m)
[288/459] 81a1dca0-cc90-47c5-afe3-c277319c47c8  163u  298tr   6.2s (elapsed 0.8m, eta 0.5m)
[289/459] 113c5b6c-940e-4b21-b462-789b4c2be0e5  121u  304tr   2.1s (elapsed 0.9m, eta 0.5m)
[290/459] d7e60cc3-6020-429e-a654-636c6cc677ea  114u  294tr   6.2s (elapsed 0.9m, eta 0.5m)
[291/459] 4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a  442u  342tr   6.7s (elapsed 0.9m, eta 0.5m)
[292/459] 493170a6-fd94-4ee4-884f-cc018c17eeb9  164u  535tr   6.5s (elapsed 0.9m, eta 0.5m)
[293/459] c4432264-e1ae-446f-8a07-6280abade813  370u  586tr   6.1s (elapsed 0.9m, eta 0.5m)
[294/459] 0b7ee1b6-42db-46cd-a465-08f531366187   73u  628tr   2.6s (elapsed 0.9m, eta 0.5m)
[295/459] 4aa1d525-5c7d-4c50-a147-ec53a9014812  141u  370tr   3.0s (elapsed 0.9m, eta 0.5m)
[296/459] 09b2c4d1-058d-4c84-9fd4-97530f85baf6  245u  421tr   6.0s (elapsed 0.9m, eta 0.5m)
[297/459] ab8a0899-a59f-42e4-8807-95b14056104b  108u  386tr   4.2s (elapsed 0.9m, eta 0.5m)
[298/459] d0c91c3c-8cbb-4929-8657-31f18bffc294   60u  627tr   2.5s (elapsed 0.9m, eta 0.5m)
[299/459] d0ea3148-948d-4817-94f8-dcaf2342bbbe  149u  304tr   3.9s (elapsed 0.9m, eta 0.5m)
[300/459] 7cec9792-b8f9-4878-be7e-f08103dc0323   33u  472tr   1.9s (elapsed 0.9m, eta 0.5m)
[301/459] SKIP e5fae088-ed96-4d9b-82f9-dfd13c259d52: RuntimeError: no whisker motion energy (left or right)
[302/459] 56bc129c-6265-407a-a208-cc16d20a6c01  192u  641tr   7.1s (elapsed 0.9m, eta 0.5m)
[303/459] 746d1902-fa59-4cab-b0aa-013be36060d5  429u  481tr   7.4s (elapsed 0.9m, eta 0.5m)
[304/459] 2c44a360-5a56-4971-8009-f469fb59de98  270u  333tr   5.5s (elapsed 0.9m, eta 0.5m)
[305/459] 9dd72e52-5393-4c08-9eca-f7dace2e59f6   79u  241tr   3.4s (elapsed 0.9m, eta 0.5m)
[306/459] 53738f95-bd08-4d9d-9133-483fdb19e8da   62u  354tr   3.3s (elapsed 0.9m, eta 0.5m)
[307/459] e49d8ee7-24b9-416a-9d04-9be33b655f40   53u  404tr   3.0s (elapsed 0.9m, eta 0.5m)
[308/459] 6f6d2c8e-28be-49f4-ae4d-06be2d3148c1   95u  393tr   6.9s (elapsed 1.0m, eta 0.5m)
[309/459] a4a74102-2af5-45dc-9e41-ef7f5aed88be  364u  270tr   9.4s (elapsed 1.0m, eta 0.5m)
[310/459] 88224abb-5746-431f-9c17-17d7ef806e6a  138u  355tr   8.1s (elapsed 1.0m, eta 0.5m)
[311/459] 5d6aa933-4b00-4e99-ae2d-5003657592e9  229u  640tr  14.4s (elapsed 1.0m, eta 0.5m)
[312/459] SKIP dd4da095-4a99-4bf3-9727-f735077dba66: RuntimeError: no whisker motion energy (left or right)
[313/459] 193fe7a8-4eb5-4f3e-815a-0c45864ddd77   50u  443tr  13.6s (elapsed 1.1m, eta 0.5m)
[314/459] 0802ced5-33a3-405e-8336-b65ebc5cb07c  363u  271tr  16.9s (elapsed 1.1m, eta 0.5m)
[315/459] 510b1a50-825d-44ce-86f6-9678f5396e02  228u  654tr  16.1s (elapsed 1.1m, eta 0.5m)
[316/459] 934dd7a4-fbdc-459c-8830-04fe9033bc28   94u  536tr  15.8s (elapsed 1.2m, eta 0.5m)
[317/459] SKIP 4d8c7767-981c-4347-8e5e-5d5fffe38534: RuntimeError: no whisker motion energy (left or right)
[318/459] fe1fd79f-b051-411f-a0a9-2530a02cc78d  100u  364tr  18.6s (elapsed 1.2m, eta 0.5m)
[319/459] 72cb5550-43b4-4ef0-add5-e4adfdfb5e02  354u  370tr  23.9s (elapsed 1.2m, eta 0.5m)
[320/459] 1a507308-c63a-4e02-8f32-3239a07dc578  373u  379tr  26.4s (elapsed 1.2m, eta 0.5m)
[321/459] 465c44bd-2e67-4112-977b-36e1ac7e3f8c  254u  359tr  21.2s (elapsed 1.2m, eta 0.5m)
[322/459] d33baf74-263c-4b37-a0d0-b79dcb80a764  516u  298tr  22.0s (elapsed 1.2m, eta 0.5m)
[323/459] 239dd3c9-35f3-4462-95ee-91b822a22e6b  155u  255tr  23.2s (elapsed 1.2m, eta 0.5m)
[324/459] cb2ad999-a6cb-42ff-bf71-1774c57e5308  176u  679tr  20.0s (elapsed 1.2m, eta 0.5m)
[325/459] 45ef6691-7b80-4a43-bd1a-85fc00851ae8  147u  428tr  15.6s (elapsed 1.2m, eta 0.5m)
[326/459] 21e16736-fd59-44c7-b938-9b1333d25da8   90u  346tr  23.1s (elapsed 1.2m, eta 0.5m)
[327/459] 5b609f9b-75cb-43d3-9c39-b5b4b7a0db67  149u  751tr  28.1s (elapsed 1.3m, eta 0.5m)
[328/459] 1e45d992-c356-40e1-9be1-a506d944896f  173u  414tr  19.2s (elapsed 1.3m, eta 0.5m)
[329/459] f8d5c8b0-b931-4151-b86c-c471e2e80e5d  228u  519tr  21.0s (elapsed 1.3m, eta 0.5m)
[330/459] fc14c0d6-51cf-48ba-b326-56ed5a9420c3  148u  373tr  14.4s (elapsed 1.3m, eta 0.5m)
[331/459] ee40aece-cffd-4edb-a4b6-155f158c666a  427u  519tr  22.8s (elapsed 1.3m, eta 0.5m)
[332/459] 03063955-2523-47bd-ae57-f7489dd40f15  145u  564tr  18.1s (elapsed 1.3m, eta 0.5m)
[333/459] 032452e9-1886-449d-9c13-0f192572e19f   32u  307tr   2.2s (elapsed 1.3m, eta 0.5m)
[334/459] 259927fd-7563-4b03-bc5d-17b4d0fa7a55  298u  499tr  23.9s (elapsed 1.3m, eta 0.5m)
[335/459] 7cb81727-2097-4b52-b480-c89867b5b34c   69u  325tr   7.8s (elapsed 1.3m, eta 0.5m)
[336/459] SKIP 6bb5da8f-6858-4fdd-96d9-c34b3b841593: RuntimeError: only 1 well-isolated grey-matter units (minimum 5)
[337/459] 22e04698-b974-4805-b241-3b547dbf37bf  136u  299tr  16.8s (elapsed 1.4m, eta 0.5m)
[338/459] f84045b0-ce09-4ace-9d11-5ea491620707   49u  350tr  15.6s (elapsed 1.4m, eta 0.5m)
[339/459] ff4187b5-4176-4e39-8894-53a24b7cf36b  405u  601tr  33.6s (elapsed 1.4m, eta 0.5m)
[340/459] 239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a  104u  360tr  14.1s (elapsed 1.5m, eta 0.5m)
[341/459] 75b6b132-d998-4fba-8482-961418ac957d   69u  242tr  14.2s (elapsed 1.5m, eta 0.5m)
[342/459] e6043c7d-8f6e-4b66-8309-2ec0abac0f79   59u  677tr  11.8s (elapsed 1.5m, eta 0.5m)
[343/459] 6c6983ef-7383-4989-9183-32b1a300d17a   62u  463tr  13.6s (elapsed 1.5m, eta 0.5m)
[344/459] 7416f387-b302-4ca3-8daf-03b585a1b7ec   37u  247tr  23.5s (elapsed 1.5m, eta 0.5m)
[345/459] 5b49aca6-a6f4-4075-931a-617ad64c219c   41u  584tr   3.5s (elapsed 1.5m, eta 0.5m)
[346/459] 3638d102-e8b6-4230-8742-e548cd87a949   83u  394tr  14.2s (elapsed 1.5m, eta 0.5m)
[347/459] b887df2c-bb9c-44c9-a9c0-538da87b2cab  119u  373tr  13.3s (elapsed 1.5m, eta 0.5m)
[348/459] 768a371d-7e88-47f8-bf21-4a6a6570dd6e  133u  259tr  30.5s (elapsed 1.5m, eta 0.5m)
[349/459] 3e6a97d3-3991-49e2-b346-6948cb4580fb  147u  422tr  14.3s (elapsed 1.5m, eta 0.5m)
[350/459] 671c7ea7-6726-4fbe-adeb-f89c2c8e489b  121u  543tr  16.1s (elapsed 1.5m, eta 0.5m)
[351/459] 9b528ad0-4599-4a55-9148-96cc1d93fb24   75u  449tr  14.6s (elapsed 1.5m, eta 0.5m)
[352/459] 1928bf72-2002-46a6-8930-728420402e01  140u  397tr  28.0s (elapsed 1.6m, eta 0.5m)
[353/459] 195443eb-08e9-4a18-a7e1-d105b2ce1429   10u  618tr   6.7s (elapsed 1.6m, eta 0.5m)
[354/459] e0928e11-2b86-4387-a203-80c77fab5d52   89u  320tr   8.5s (elapsed 1.6m, eta 0.5m)
[355/459] d901aff5-2250-467a-b4a1-0cb9729df9e2  194u  358tr  10.7s (elapsed 1.6m, eta 0.5m)
[356/459] eacc49a9-f3a1-49f1-b87f-0972f90ee837  272u  657tr  20.7s (elapsed 1.6m, eta 0.5m)
[357/459] eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0  148u  475tr  22.6s (elapsed 1.6m, eta 0.5m)
[358/459] 9545aa05-3945-4054-a5c3-a259f7209d61  141u  286tr  21.6s (elapsed 1.6m, eta 0.5m)
[359/459] 1ca83b26-30fc-4350-a616-c38b7d00d240   96u  434tr   9.6s (elapsed 1.6m, eta 0.5m)
[360/459] 91796ceb-e314-4859-9a1f-092f85cc846a  191u  432tr  23.4s (elapsed 1.6m, eta 0.4m)
[361/459] 1425bd6f-c625-4f6a-b237-dc5bcfc42c87   51u  632tr  22.0s (elapsed 1.6m, eta 0.4m)
[362/459] 2d9bfc10-59fb-424a-b699-7c42f86c7871   92u  466tr   9.4s (elapsed 1.6m, eta 0.4m)
[363/459] d3a2b25e-46d3-4f0b-ade6-4e32255f4c35  149u  687tr  22.3s (elapsed 1.6m, eta 0.4m)
[364/459] 27ef44c0-acb2-4220-b776-477d0d5abd35  181u  466tr  11.5s (elapsed 1.6m, eta 0.4m)
[365/459] f4eb56a4-8bf8-4bbc-a8f3-6e6535134bad  142u  306tr   9.6s (elapsed 1.6m, eta 0.4m)
[366/459] 7cc74598-9c1b-436b-84fa-0bf89f31adf6  166u  312tr  10.4s (elapsed 1.6m, eta 0.4m)
[367/459] SKIP 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: RuntimeError: only 2 well-isolated grey-matter units (minimum 5)
[368/459] d85c454e-8737-4cba-b6ad-b2339429d99b   14u  325tr   1.5s (elapsed 1.6m, eta 0.4m)
[369/459] 4e560423-5caf-4cda-8511-d1ab4cd2bf7d    7u  442tr   1.9s (elapsed 1.6m, eta 0.4m)
[370/459] 28338153-4113-485b-835b-91cb96d984f2   99u  710tr   8.2s (elapsed 1.6m, eta 0.4m)
[371/459] 3bcb81b4-d9ca-4fc9-a1cd-353a966239ca  121u  384tr  11.1s (elapsed 1.6m, eta 0.4m)
[372/459] 56b57c38-2699-4091-90a8-aba35103155e  391u  413tr  25.1s (elapsed 1.6m, eta 0.4m)
[373/459] ae8787b1-4229-4d56-b0c2-566b61a25b77  184u  548tr   8.4s (elapsed 1.6m, eta 0.4m)
[374/459] e6594a5b-552c-421a-b376-1a1baa9dc4fd   56u  248tr   2.3s (elapsed 1.7m, eta 0.4m)
[375/459] de905562-31c6-4c31-9ece-3ee87b97eab4   13u  314tr   2.4s (elapsed 1.7m, eta 0.4m)
[376/459] 63c70ae8-4dfb-418b-b21b-f0b1e5fba6c9  240u  727tr  23.4s (elapsed 1.7m, eta 0.4m)
[377/459] c958919c-2e75-435d-845d-5b62190b520e  129u  561tr   3.7s (elapsed 1.7m, eta 0.4m)
[378/459] 49368f16-de69-4647-9a7a-761e94517821   99u  398tr   4.1s (elapsed 1.7m, eta 0.4m)
[379/459] SKIP ebe090af-5922-4fcd-8fc6-17b8ba7bad6d: RuntimeError: no whisker motion energy (left or right)
[380/459] dcceebe5-4589-44df-a1c1-9fa33e779727   12u  505tr   3.9s (elapsed 1.7m, eta 0.4m)
[381/459] SKIP d832d9f7-c96a-4f63-8921-516ba4a7b61f: RuntimeError: no whisker motion energy (left or right)
[382/459] cae5cd75-55e5-4277-8db3-cf4d6c5ff918   79u  258tr   4.8s (elapsed 1.7m, eta 0.3m)
[383/459] 5c0c560e-9e1f-45e9-b66e-e4ee7855be84  263u  843tr  12.9s (elapsed 1.7m, eta 0.3m)
[384/459] f56194bc-8215-4ae8-bc6a-89781ad8e050  253u  490tr   7.6s (elapsed 1.7m, eta 0.3m)
[385/459] 29a6def1-fc5c-4eea-ac48-47e9b053dcb5  100u  633tr   9.8s (elapsed 1.7m, eta 0.3m)
[386/459] caa5dddc-9290-4e27-9f5e-575ba3598614  182u  280tr   6.6s (elapsed 1.7m, eta 0.3m)
[387/459] SKIP f8041c1e-5ef4-4ae6-afec-ed82d7a74dc1: RuntimeError: only 0 trials with complete behaviour
[388/459] 4ef13091-1bc8-4f32-9619-107bdf48540c   66u  624tr   5.9s (elapsed 1.7m, eta 0.3m)
[389/459] 65f5c9b4-4440-48b9-b914-c593a5184a18  110u  359tr   5.8s (elapsed 1.7m, eta 0.3m)
[390/459] 8c2f7f4d-7346-42a4-a715-4d37a5208535  108u  244tr   3.0s (elapsed 1.8m, eta 0.3m)
[391/459] b10ed1ba-2099-42c4-bee3-d053eb594f09  106u  625tr   8.3s (elapsed 1.8m, eta 0.3m)
[392/459] 0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde  267u  618tr  19.6s (elapsed 1.8m, eta 0.3m)
[393/459] 4ddb8a95-788b-48d0-8a0a-66c7c796da96  111u  553tr  10.1s (elapsed 1.8m, eta 0.3m)
[394/459] 6c6b0d06-6039-4525-a74b-58cfaa1d3a60  123u  663tr  23.3s (elapsed 1.9m, eta 0.3m)
[395/459] f1db6257-85ef-4385-b415-2d078ec75df2  295u  457tr  37.4s (elapsed 1.9m, eta 0.3m)
[396/459] 642c97ea-fe89-4ec9-8629-5e492ea4019d  186u  335tr  16.3s (elapsed 1.9m, eta 0.3m)
[397/459] 25f77e81-c1af-46ab-8686-73ac3d67c4a7  122u  505tr  14.9s (elapsed 1.9m, eta 0.3m)
[398/459] 91e04f86-89df-4dec-a8f8-fa915c9a5f1a   94u  352tr  10.7s (elapsed 1.9m, eta 0.3m)
[399/459] d2832a38-27f6-452d-91d6-af72d794136c  148u  513tr  10.1s (elapsed 1.9m, eta 0.3m)
[400/459] dc21e80d-97d7-44ca-a729-a8e3f9b14305   29u  505tr  11.9s (elapsed 1.9m, eta 0.3m)
[401/459] ff96bfe1-d925-4553-94b5-bf8297adf259  218u  265tr  13.6s (elapsed 1.9m, eta 0.3m)
[402/459] 037d75ca-c90a-43f2-aca6-e86611916779  120u  631tr  16.1s (elapsed 1.9m, eta 0.3m)
[403/459] 5139ce2c-7d52-44bf-8129-692d61dd6403  137u  656tr  18.0s (elapsed 1.9m, eta 0.3m)
[404/459] af55d16f-0e31-4073-bdb5-26da54914aa2   84u  814tr   6.5s (elapsed 1.9m, eta 0.3m)
[405/459] 73918ae1-e4fd-4c18-b132-00cb555b1ad2  140u  467tr  11.0s (elapsed 1.9m, eta 0.3m)
[406/459] 5285c561-80da-4563-8694-739da92e5dd0  221u  351tr  15.9s (elapsed 1.9m, eta 0.3m)
[407/459] e9fc0a2d-c69d-44d1-9fa3-314782387cae   76u  232tr   9.3s (elapsed 1.9m, eta 0.2m)
[408/459] 0cc486c3-8c7b-494d-aa04-b70e2690bcba  123u  444tr  11.0s (elapsed 1.9m, eta 0.2m)
[409/459] a9138924-4395-4981-83d1-530f6ff7c8fc  118u  372tr  19.5s (elapsed 2.0m, eta 0.2m)
[410/459] 25d1920e-a2af-4b6c-9f2e-fc6c65576544  223u  217tr  19.2s (elapsed 2.0m, eta 0.2m)
[411/459] 72028382-a869-4745-bacf-cb8789e16953  136u  765tr  13.9s (elapsed 2.0m, eta 0.2m)
[412/459] 821f1883-27f3-411d-afd3-fb8241bbc39a  160u  472tr  12.3s (elapsed 2.1m, eta 0.2m)
[413/459] 08102cfc-a040-4bcf-b63c-faa0f4914a6f   28u  125tr  13.7s (elapsed 2.1m, eta 0.2m)
[414/459] 3e7ae7c0-fe8b-487c-9354-036236fa1010   27u  402tr  14.1s (elapsed 2.2m, eta 0.2m)
[415/459] f304211a-81b1-446f-a435-25e589fe3a5a   62u  679tr  26.1s (elapsed 2.2m, eta 0.2m)
[416/459] 69a0e953-a643-4f0e-bb26-dc65af3ea7d7   37u  448tr  18.0s (elapsed 2.2m, eta 0.2m)
[417/459] SKIP c728f6fd-58e2-448d-aefb-a72c637b604c: RuntimeError: no whisker motion energy (left or right)
[418/459] 58b1e920-cfc8-467e-b28b-7654a55d0977   29u  565tr  19.5s (elapsed 2.2m, eta 0.2m)
[419/459] SKIP 03cf52f6-fba6-4743-a42e-dd1ac3072343: RuntimeError: no whisker motion energy (left or right)
[420/459] 09394481-8dd2-4d5c-9327-f2753ede92d7  326u  435tr  30.9s (elapsed 2.2m, eta 0.2m)
[421/459] 8db36de1-8f17-4446-b527-b5d91909b45a  114u  823tr  17.9s (elapsed 2.2m, eta 0.2m)
[422/459] 5b44c40f-80f4-44fb-abfb-c7f19e27a6ca  107u  418tr  18.7s (elapsed 2.2m, eta 0.2m)
[423/459] e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1  193u  698tr  34.9s (elapsed 2.2m, eta 0.2m)
[424/459] SKIP b81e3e11-9a60-4114-b894-09f85074d9c3: RuntimeError: no whisker motion energy (left or right)
[425/459] SKIP da188f2c-553c-4e04-879b-c9ea2d1b9a93: RuntimeError: no whisker motion energy (left or right)
[426/459] edd22318-216c-44ff-bc24-49ce8be78374  115u  511tr  18.9s (elapsed 2.2m, eta 0.2m)
[427/459] 952870e5-f2a7-4518-9e6d-71585460f6fe  129u  722tr  30.8s (elapsed 2.2m, eta 0.2m)
[428/459] 49e0ab27-827a-4c91-bcaa-97eea27a1b8d  124u  574tr  19.2s (elapsed 2.2m, eta 0.2m)
[429/459] 90e74228-fd1a-482f-bd56-05dbad132861   48u  659tr   7.4s (elapsed 2.3m, eta 0.2m)
[430/459] 5adab0b7-dfd0-467d-b09d-43cb7ca5d59c  306u  426tr  20.1s (elapsed 2.3m, eta 0.2m)
[431/459] 1eac875c-feaa-4a30-b148-059b954b11d8  123u  612tr  19.7s (elapsed 2.3m, eta 0.1m)
[432/459] 86b6ba67-c1db-4333-add0-f8105ea6e363   34u  457tr  22.3s (elapsed 2.3m, eta 0.1m)
[433/459] 90c61c38-b9fd-4cc3-9795-29160d2f8e55  111u  651tr   2.7s (elapsed 2.3m, eta 0.1m)
[434/459] ff48aa1d-ef30-4903-ac34-8c41b738c1b9  261u  733tr   4.5s (elapsed 2.3m, eta 0.1m)
[435/459] 41431f53-69fd-4e3b-80ce-ea62e03bf9c7  274u  308tr  19.7s (elapsed 2.4m, eta 0.1m)
[436/459] a7763417-e0d6-4f2a-aa55-e382fd9b5fb8  226u  660tr  47.3s (elapsed 2.5m, eta 0.1m)
[437/459] a66f1593-dafd-4982-9b66-f9554b6c86b5  170u  392tr  24.5s (elapsed 2.5m, eta 0.1m)
