Converting 152 sessions with 12 workers (neural signal: dff)
[1/152] m11_day03 Env1_LocationB_to_A      cells   154 (iscell   155, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.93 kt=0 | load 0.2s dff 0.2s tot 0.5s | elapsed 4s
[134/152] m4_day10 Env2_LocationC_to_A      cells  1100 (iscell  1100, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.82 kt=0 | load 1.7s dff 3.7s tot 5.7s | elapsed 41s
[135/152] m4_day11 Env2_LocationA           cells   990 (iscell   990, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 1.1s dff 2.5s tot 3.9s | elapsed 41s
[136/152] m4_day12 Env2_LocationA_to_B      cells  1038 (iscell  1039, int   1)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 1.4s dff 3.6s tot 5.3s | elapsed 42s
[137/152] m4_day13 Env2_LocationB           cells   876 (iscell   886, int  10)  trials  79/ 80 (lick-err 1, nan 0) rew 0.89 kt=0 | load 1.2s dff 3.0s tot 4.5s | elapsed 42s
[138/152] m4_day14 Env2_LocationB_to_C      cells  1061 (iscell  1066, int   5)  trials  45/ 80 (lick-err 35, nan 0) rew 0.85 kt=0 | load 1.8s dff 5.0s tot 7.2s | elapsed 46s
[139/152] m7_day01 Env1_LocationA           cells  1297 (iscell  1298, int   1)  trials  99/100 (lick-err 1, nan 0) rew 0.88 kt=0 | load 1.0s dff 2.8s tot 4.2s | elapsed 46s
[140/152] m7_day02 Env1_LocationA           cells  1186 (iscell  1186, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.84 kt=0 | load 1.1s dff 2.3s tot 3.7s | elapsed 46s
[141/152] m7_day03 Env1_LocationA_to_C      cells  1155 (iscell  1155, int   0)  trials 100/100 (lick-err 0, nan 0) rew 0.84 kt=0 | load 1.0s dff 2.8s tot 4.1s | elapsed 46s
[142/152] m7_day04 Env1_LocationC           cells  1013 (iscell  1013, int   0)  trials  79/ 80 (lick-err 1, nan 0) rew 0.90 kt=0 | load 0.6s dff 1.6s tot 2.4s | elapsed 46s
[143/152] m7_day05 Env1_LocationC_to_B      cells  1111 (iscell  1111, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.88 kt=0 | load 0.9s dff 2.0s tot 3.1s | elapsed 46s
[144/152] m7_day06 Env1_LocationB           cells  1142 (iscell  1142, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=0 | load 0.8s dff 2.0s tot 3.0s | elapsed 46s
[145/152] m7_day07 Env1_LocationB_to_A      cells  1020 (iscell  1020, int   0)  trials 100/100 (lick-err 0, nan 0) rew 0.86 kt=0 | load 0.7s dff 1.7s tot 2.6s | elapsed 46s
[146/152] m7_day08 Env1_A_to_Env2_B         cells  1034 (iscell  1034, int   0)  trials  99/100 (lick-err 1, nan 0) rew 0.93 kt=0 | load 0.6s dff 1.9s tot 2.6s | elapsed 46s
[147/152] m7_day09 Env2_LocationB           cells   900 (iscell   900, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.85 kt=0 | load 0.7s dff 1.3s tot 2.1s | elapsed 46s
[148/152] m7_day10 Env2_LocationB_to_C      cells   886 (iscell   886, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.80 kt=0 | load 0.8s dff 1.5s tot 2.4s | elapsed 46s
[149/152] m7_day11 Env2_LocationC           cells   973 (iscell   973, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.90 kt=0 | load 0.7s dff 1.4s tot 2.2s | elapsed 46s
[150/152] m7_day12 Env2_LocationC_to_A      cells   969 (iscell   969, int   0)  trials 100/100 (lick-err 0, nan 0) rew 0.83 kt=0 | load 1.0s dff 1.7s tot 2.8s | elapsed 46s
[151/152] m7_day13 Env2_LocationA           cells   988 (iscell   988, int   0)  trials  80/ 80 (lick-err 0, nan 0) rew 0.81 kt=0 | load 0.7s dff 1.4s tot 2.3s | elapsed 46s
[152/152] m7_day14 Env2_LocationA_to_B      cells  1192 (iscell  1192, int   0)  trials 100/100 (lick-err 0, nan 0) rew 0.86 kt=0 | load 1.2s dff 2.7s tot 4.1s | elapsed 47s

Total: 152 sessions, 11 subjects, 12135 trials, 138298 neurons, 2576026 timepoints
Conversion time: 48.3s
Wrote /app/converted_data.pkl (9.63 GB) in 9.4s
