Converting all sessions from 7 animal file(s)...
  [QLAK-CA1-51 day  0] env=square     cells 554 -> reg 113 -> kept 112 | 24073 bins, 60.2% running | 40 trials | 0.51s
  [QLAK-CA1-50 day 29] env=l          cells 942 -> reg 536 -> kept 532 | 23955 bins, 60.2% running | 40 trials | 1.40s
  [QLAK-CA1-75 day 29] env=u          cells 952 -> reg 535 -> kept 533 | 24023 bins, 54.7% running | 40 trials | 1.42s
  [QLAK-CA1-50 day 30] env=square     cells 942 -> reg 564 -> kept 562 | 23955 bins, 66.1% running | 40 trials | 1.45s
[QLAK-CA1-50] 31 sessions in 37.2s
  [QLAK-CA1-75 day 30] env=square     cells 952 -> reg 514 -> kept 511 | 24023 bins, 46.6% running | 40 trials | 1.41s
[QLAK-CA1-75] 31 sessions in 38.2s

Processed 207 sessions in 39.8s

==========================================================================================
Subjects                : 7  ['QLAK-CA1-08', 'QLAK-CA1-30', 'QLAK-CA1-50', 'QLAK-CA1-51', 'QLAK-CA1-56', 'QLAK-CA1-74', 'QLAK-CA1-75']
Sessions                : 207
Trials                  : 8148  (mean 39.4 per session)
Neurons / session       : mean 332.7  min 112  max 562  total(cell-sessions) 68862
Timepoints / trial      : mean 315.4  min 30  max 561
Total timepoints        : 2569722  (71.38 h)
Time bin                : 100 ms
Output bin distribution : [0.0949, 0.1081, 0.1136, 0.0879, 0.0704, 0.0874, 0.1088, 0.1582, 0.1707]
Output range            : [0, 8]
Input range             : [0, 1]   mean blocked partitions/trial 2.314
==========================================================================================

Wrote /app/converted_data.pkl (3.44 GB) in 4.3s
Total time 44.1s
