nohup: ignoring input
Converting 152 sessions with 12 workers (signal=dff)
[1/152] sub-m11_ses-03_behavior+ophys.nwb cells=154 (iscell 155, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.7s
[124/152] sub-m3_ses-14_behavior+ophys.nwb cells=1050 (iscell 1050, interneurons 0) trials=99/100 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.1s
[125/152] sub-m4_ses-01_behavior+ophys.nwb cells=980 (iscell 983, interneurons 3) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.8s
[126/152] sub-m4_ses-02_behavior+ophys.nwb cells=909 (iscell 926, interneurons 17) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.9s
[127/152] sub-m4_ses-03_behavior+ophys.nwb cells=1023 (iscell 1031, interneurons 8) trials=74/75 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=5.9s
[128/152] sub-m4_ses-04_behavior+ophys.nwb cells=1016 (iscell 1016, interneurons 0) trials=39/41 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=5.8s
[129/152] sub-m4_ses-05_behavior+ophys.nwb cells=1066 (iscell 1066, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.0s
[130/152] sub-m4_ses-06_behavior+ophys.nwb cells=1067 (iscell 1068, interneurons 1) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.9s
[131/152] sub-m4_ses-07_behavior+ophys.nwb cells=1003 (iscell 1011, interneurons 8) trials=70/80 drops={'first': 1, 'lick': 9, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.9s
[132/152] sub-m4_ses-08_behavior+ophys.nwb cells=1285 (iscell 1287, interneurons 2) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.5s
[133/152] sub-m4_ses-09_behavior+ophys.nwb cells=1014 (iscell 1019, interneurons 5) trials=49/50 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.0s
[134/152] sub-m4_ses-10_behavior+ophys.nwb cells=1100 (iscell 1100, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=12.9s
[135/152] sub-m4_ses-11_behavior+ophys.nwb cells=990 (iscell 990, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[136/152] sub-m4_ses-12_behavior+ophys.nwb cells=1038 (iscell 1039, interneurons 1) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.5s
[137/152] sub-m4_ses-13_behavior+ophys.nwb cells=876 (iscell 886, interneurons 10) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.3s
[138/152] sub-m4_ses-14_behavior+ophys.nwb cells=1061 (iscell 1066, interneurons 5) trials=44/80 drops={'first': 1, 'lick': 35, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=11.1s
[139/152] sub-m7_ses-01_behavior+ophys.nwb cells=1297 (iscell 1298, interneurons 1) trials=98/100 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=9.7s
[140/152] sub-m7_ses-02_behavior+ophys.nwb cells=1186 (iscell 1186, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.9s
[141/152] sub-m7_ses-03_behavior+ophys.nwb cells=1155 (iscell 1155, interneurons 0) trials=99/100 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.5s
[142/152] sub-m7_ses-04_behavior+ophys.nwb cells=1013 (iscell 1013, interneurons 0) trials=78/80 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.1s
[143/152] sub-m7_ses-05_behavior+ophys.nwb cells=1111 (iscell 1111, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.6s
[144/152] sub-m7_ses-06_behavior+ophys.nwb cells=1142 (iscell 1142, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.0s
[145/152] sub-m7_ses-07_behavior+ophys.nwb cells=1020 (iscell 1020, interneurons 0) trials=99/100 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=10.5s
[146/152] sub-m7_ses-08_behavior+ophys.nwb cells=1034 (iscell 1034, interneurons 0) trials=98/100 drops={'first': 1, 'lick': 1, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.8s
[147/152] sub-m7_ses-09_behavior+ophys.nwb cells=900 (iscell 900, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.3s
[148/152] sub-m7_ses-10_behavior+ophys.nwb cells=886 (iscell 886, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
[149/152] sub-m7_ses-11_behavior+ophys.nwb cells=973 (iscell 973, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=8.3s
[150/152] sub-m7_ses-12_behavior+ophys.nwb cells=969 (iscell 969, interneurons 0) trials=99/100 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.6s
[151/152] sub-m7_ses-13_behavior+ophys.nwb cells=988 (iscell 988, interneurons 0) trials=79/80 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=6.7s
[152/152] sub-m7_ses-14_behavior+ophys.nwb cells=1192 (iscell 1192, interneurons 0) trials=99/100 drops={'first': 1, 'lick': 0, 'short': 0, 'nan': 0, 'scanning': 0} zone_mismatch=0 t=7.4s
Session processing took 127.2s (0.8s/session)

==== CONVERSION SUMMARY ====
sessions: 152   subjects: 11 ['m3', 'm4', 'm7', 'm11', 'm12', 'm13', 'm14', 'm15', 'm17', 'm18', 'm19']
trials: 11983 (raw trial_start events: 12216)
trials/session: mean 78.8
neurons: total 138276, per session min 154 max 2323 mean 909.7
iscell ROIs: 138678, excluded interneurons: 402 (0.29%)
total timepoints: 2533868 (45.39 h of recording)
dropped trials: {'first': 152, 'lick': 81, 'short': 0, 'nan': 0, 'scanning': 0}
zone-label mismatches vs data: 0
rewarded fraction (kept trials): 0.8468
ENV1/ENV2 trial fractions: 0.510/0.490
  output dist_to_reward_zone: 0:0.250, 1:0.102, 2:0.074, 3:0.239, 4:0.021, 5:0.072, 6:0.242
  output position: 0:0.212, 1:0.176, 2:0.232, 3:0.227, 4:0.154
  output speed: 0:0.117, 1:0.087, 2:0.133, 3:0.316, 4:0.346
  output lick: 0:0.778, 1:0.222
  output reward_zone_location: 0:0.331, 1:0.336, 2:0.332
  output reward_outcome: 0:0.157, 1:0.843
  input time_from_trial_start: min 0.000 max 216.536 mean 8.391
  input environment: min 0.000 max 1.000 mean 0.475
  input trial_number: min 1.000 max 99.000 mean 40.040
  input prev_trial_outcome: min 0.000 max 1.000 mean 0.844
wrote /app/converted_data.pkl (9.47 GB) in 135.8s total
