Requested mode: full
Candidate local sessions from manifest: 459
Session workers: 8
[skip] 3a3ea015-b5f4-4e8b-b189-9364d1fc7435: Missing wheel files for /app/data/one_cache/steinmetzlab/Subjects/NR_0029/2023-09-07/001
[ok] d85c454e-8737-4cba-b6ad-b2339429d99b: raw_trials=413, kept_trials=325, good_clusters=17, whisker=left, elapsed=1.8s
[ok] 6ed57216-498d-48a6-b48b-a243a34710ea: raw_trials=541, kept_trials=439, good_clusters=156, whisker=left, elapsed=8.8s
[ok] d0c91c3c-8cbb-4929-8657-31f18bffc294: raw_trials=815, kept_trials=627, good_clusters=61, whisker=left, elapsed=7.4s
[ok] b22f694e-4a34-4142-ab9d-2556c3487086: raw_trials=480, kept_trials=315, good_clusters=272, whisker=left, elapsed=9.0s
[ok] 35ed605c-1a1a-47b1-86ff-2b56144f55af: raw_trials=522, kept_trials=403, good_clusters=195, whisker=left, elapsed=10.8s
[skip] 872ce8ff-9fb3-485c-be00-bc5479e0095b: Missing whisker motion energy files for /app/data/one_cache/cortexlab/Subjects/KS055/2021-05-03/001
[ok] 113c5b6c-940e-4b21-b462-789b4c2be0e5: raw_trials=436, kept_trials=304, good_clusters=130, whisker=left, elapsed=4.9s
[ok] 8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8: raw_trials=546, kept_trials=289, good_clusters=136, whisker=left, elapsed=6.3s
[ok] f5591ac5-311d-4fa8-9bad-029d7be9c491: raw_trials=785, kept_trials=533, good_clusters=33, whisker=left, elapsed=7.7s
[ok] f359281f-6941-4bfd-90d4-940be22ed3c3: raw_trials=463, kept_trials=236, good_clusters=63, whisker=left, elapsed=20.4s
[ok] 0b7ee1b6-42db-46cd-a465-08f531366187: raw_trials=797, kept_trials=628, good_clusters=87, whisker=left, elapsed=16.7s
[ok] 71e03be6-b497-4991-a121-9416dcc1a6e7: raw_trials=817, kept_trials=488, good_clusters=135, whisker=left, elapsed=15.8s
[ok] ab8a0899-a59f-42e4-8807-95b14056104b: raw_trials=805, kept_trials=386, good_clusters=141, whisker=left, elapsed=14.2s
[ok] 21d21fc3-4201-4edc-802a-c67b61952548: raw_trials=548, kept_trials=369, good_clusters=61, whisker=left, elapsed=5.4s
[ok] 5157810e-0fff-4bcf-b19d-32d4e39c7dfc: raw_trials=434, kept_trials=203, good_clusters=186, whisker=left, elapsed=22.5s
[ok] 72cb5550-43b4-4ef0-add5-e4adfdfb5e02: raw_trials=733, kept_trials=370, good_clusters=474, whisker=left, elapsed=44.5s
[ok] dc21e80d-97d7-44ca-a729-a8e3f9b14305: raw_trials=1111, kept_trials=505, good_clusters=35, whisker=left, elapsed=10.3s
[ok] 8c2f7f4d-7346-42a4-a715-4d37a5208535: raw_trials=471, kept_trials=241, good_clusters=121, whisker=left, elapsed=7.2s
[ok] 71855308-7e54-41d7-a7a4-b042e78e3b4f: raw_trials=516, kept_trials=193, good_clusters=421, whisker=left, elapsed=44.6s
[ok] f88d4dd4-ccd7-400e-9035-fa00be3bcfa8: raw_trials=401, kept_trials=226, good_clusters=288, whisker=left, elapsed=15.5s
[ok] 83d85891-bd75-4557-91b4-1cbb5f8bfc9d: raw_trials=443, kept_trials=260, good_clusters=230, whisker=left, elapsed=17.2s
[ok] 1a507308-c63a-4e02-8f32-3239a07dc578: raw_trials=743, kept_trials=379, good_clusters=383, whisker=left, elapsed=32.3s
[ok] a9138924-4395-4981-83d1-530f6ff7c8fc: raw_trials=884, kept_trials=372, good_clusters=144, whisker=left, elapsed=23.8s
[ok] ff96bfe1-d925-4553-94b5-bf8297adf259: raw_trials=426, kept_trials=265, good_clusters=233, whisker=left, elapsed=24.1s
[ok] 3f6e25ae-c007-4dc3-aa77-450fd5705046: raw_trials=401, kept_trials=216, good_clusters=136, whisker=left, elapsed=5.0s
[ok] aec5d3cc-4bb2-4349-80a9-0395b76f04e2: raw_trials=649, kept_trials=499, good_clusters=439, whisker=left, elapsed=36.8s
[ok] 9b5a1754-ac99-4d53-97d3-35c2f6638507: raw_trials=443, kept_trials=274, good_clusters=105, whisker=left, elapsed=11.3s
[ok] 2c44a360-5a56-4971-8009-f469fb59de98: raw_trials=602, kept_trials=333, good_clusters=286, whisker=left, elapsed=12.8s
[ok] 7af49c00-63dd-4fed-b2e0-1b3bd945b20b: raw_trials=414, kept_trials=321, good_clusters=260, whisker=left, elapsed=13.9s
[ok] 4aa1d525-5c7d-4c50-a147-ec53a9014812: raw_trials=564, kept_trials=370, good_clusters=148, whisker=left, elapsed=9.4s
[ok] 73918ae1-e4fd-4c18-b132-00cb555b1ad2: raw_trials=625, kept_trials=467, good_clusters=162, whisker=left, elapsed=13.1s
[ok] f304211a-81b1-446f-a435-25e589fe3a5a: raw_trials=1016, kept_trials=679, good_clusters=69, whisker=left, elapsed=11.8s
[ok] 09394481-8dd2-4d5c-9327-f2753ede92d7: raw_trials=912, kept_trials=435, good_clusters=367, whisker=left, elapsed=43.3s
[ok] d0ea3148-948d-4817-94f8-dcaf2342bbbe: raw_trials=560, kept_trials=304, good_clusters=152, whisker=left, elapsed=6.3s
[ok] 91e04f86-89df-4dec-a8f8-fa915c9a5f1a: raw_trials=548, kept_trials=352, good_clusters=109, whisker=left, elapsed=12.5s
[ok] 781b35fd-e1f0-4d14-b2bb-95b7263082bb: raw_trials=471, kept_trials=323, good_clusters=202, whisker=left, elapsed=8.7s
[ok] 952870e5-f2a7-4518-9e6d-71585460f6fe: raw_trials=906, kept_trials=722, good_clusters=141, whisker=left, elapsed=18.5s
[ok] 9545aa05-3945-4054-a5c3-a259f7209d61: raw_trials=487, kept_trials=286, good_clusters=148, whisker=left, elapsed=17.8s
[ok] 3638d102-e8b6-4230-8742-e548cd87a949: raw_trials=695, kept_trials=394, good_clusters=83, whisker=left, elapsed=6.0s
[ok] d3a2b25e-46d3-4f0b-ade6-4e32255f4c35: raw_trials=949, kept_trials=687, good_clusters=161, whisker=left, elapsed=18.0s
[skip] c728f6fd-58e2-448d-aefb-a72c637b604c: Missing whisker motion energy files for /app/data/one_cache/wittenlab/Subjects/ibl_witten_27/2021-01-16/003
[ok] 9468fa93-21ae-4984-955c-e8402e280c83: raw_trials=514, kept_trials=366, good_clusters=162, whisker=left, elapsed=7.1s
[ok] e5c75b62-6871-4135-b3d0-f6464c2d90c0: raw_trials=581, kept_trials=438, good_clusters=95, whisker=left, elapsed=9.9s
[ok] a6fe44a8-07ab-49b8-81f9-e18575aa85cc: raw_trials=786, kept_trials=459, good_clusters=138, whisker=left, elapsed=13.8s
[ok] 25d1920e-a2af-4b6c-9f2e-fc6c65576544: raw_trials=401, kept_trials=217, good_clusters=298, whisker=left, elapsed=30.9s
[ok] 5285c561-80da-4563-8694-739da92e5dd0: raw_trials=563, kept_trials=351, good_clusters=308, whisker=left, elapsed=27.3s
[ok] aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf: raw_trials=656, kept_trials=484, good_clusters=162, whisker=left, elapsed=11.7s
[ok] 9e9c6fc0-4769-4d83-9ea4-b59a1230510e: raw_trials=1007, kept_trials=610, good_clusters=116, whisker=left, elapsed=7.4s
[skip] 571d3ffe-54a5-473d-a265-5dc373eb7efc: Missing whisker motion energy files for /app/data/one_cache/cortexlab/Subjects/KS045/2020-12-06/002
[ok] 0ac8d013-b91e-4732-bc7b-a1164ff3e445: raw_trials=841, kept_trials=674, good_clusters=94, whisker=left, elapsed=8.5s
[ok] 69c9a415-f7fa-4208-887b-1417c1479b48: raw_trials=637, kept_trials=454, good_clusters=207, whisker=left, elapsed=13.4s
[ok] d7e60cc3-6020-429e-a654-636c6cc677ea: raw_trials=490, kept_trials=294, good_clusters=121, whisker=left, elapsed=10.4s
[ok] f1db6257-85ef-4385-b415-2d078ec75df2: raw_trials=741, kept_trials=457, good_clusters=386, whisker=left, elapsed=33.2s
[ok] 360eac0c-7d2d-4cc1-9dcf-79fc7afc56e7: raw_trials=609, kept_trials=367, good_clusters=164, whisker=left, elapsed=9.1s
[ok] 875c1e5c-f7ec-45ac-ab82-ecfe7276a707: raw_trials=787, kept_trials=608, good_clusters=79, whisker=left, elapsed=7.1s
[ok] dfbe628d-365b-461c-a07f-8b9911ba83aa: raw_trials=753, kept_trials=511, good_clusters=351, whisker=left, elapsed=19.9s
[ok] 81a1dca0-cc90-47c5-afe3-c277319c47c8: raw_trials=444, kept_trials=298, good_clusters=184, whisker=left, elapsed=10.0s
[ok] 032452e9-1886-449d-9c13-0f192572e19f: raw_trials=426, kept_trials=307, good_clusters=33, whisker=left, elapsed=3.2s
[ok] 8c552ddc-813e-4035-81cc-3971b57efe65: raw_trials=457, kept_trials=329, good_clusters=161, whisker=left, elapsed=4.6s
[ok] dac3a4c1-b666-4de0-87e8-8c514483cacf: raw_trials=501, kept_trials=394, good_clusters=141, whisker=left, elapsed=6.7s
[ok] 239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a: raw_trials=636, kept_trials=360, good_clusters=147, whisker=left, elapsed=9.4s
[ok] 75b6b132-d998-4fba-8482-961418ac957d: raw_trials=471, kept_trials=242, good_clusters=76, whisker=left, elapsed=10.9s
[ok] 493170a6-fd94-4ee4-884f-cc018c17eeb9: raw_trials=686, kept_trials=535, good_clusters=198, whisker=left, elapsed=16.8s
[ok] 07dc4b76-5b93-4a03-82a0-b3d9cc73f412: raw_trials=692, kept_trials=441, good_clusters=201, whisker=left, elapsed=20.1s
[ok] 63f3dbc1-1a5f-44e5-98dd-ce25cd2b7871: raw_trials=456, kept_trials=322, good_clusters=90, whisker=left, elapsed=15.1s
[ok] 7cb81727-2097-4b52-b480-c89867b5b34c: raw_trials=658, kept_trials=325, good_clusters=74, whisker=left, elapsed=5.2s
[ok] f84045b0-ce09-4ace-9d11-5ea491620707: raw_trials=583, kept_trials=350, good_clusters=64, whisker=left, elapsed=8.9s
[ok] c4432264-e1ae-446f-8a07-6280abade813: raw_trials=848, kept_trials=586, good_clusters=421, whisker=left, elapsed=38.8s
[ok] 5569f363-0934-464e-9a5b-77c8e67791a1: raw_trials=717, kept_trials=509, good_clusters=105, whisker=left, elapsed=7.7s
[ok] 5ec72172-3901-4771-8777-6e9490ca51fc: raw_trials=933, kept_trials=695, good_clusters=198, whisker=left, elapsed=12.0s
[ok] 09b2c4d1-058d-4c84-9fd4-97530f85baf6: raw_trials=598, kept_trials=421, good_clusters=315, whisker=left, elapsed=27.0s
[ok] cde63527-7f5a-4cc3-8ac2-215d82e7da26: raw_trials=508, kept_trials=407, good_clusters=80, whisker=left, elapsed=3.1s
[ok] 1928bf72-2002-46a6-8930-728420402e01: raw_trials=669, kept_trials=397, good_clusters=160, whisker=left, elapsed=7.7s
[ok] 22e04698-b974-4805-b241-3b547dbf37bf: raw_trials=518, kept_trials=299, good_clusters=150, whisker=left, elapsed=15.9s
[ok] 77e6dc6a-66ed-433c-b1a2-778c914f523c: raw_trials=784, kept_trials=590, good_clusters=95, whisker=left, elapsed=7.1s
[ok] 5d6aa933-4b00-4e99-ae2d-5003657592e9: raw_trials=845, kept_trials=640, good_clusters=236, whisker=left, elapsed=33.4s
[ok] 7416f387-b302-4ca3-8daf-03b585a1b7ec: raw_trials=476, kept_trials=247, good_clusters=37, whisker=left, elapsed=7.9s
[ok] fc14c0d6-51cf-48ba-b326-56ed5a9420c3: raw_trials=519, kept_trials=373, good_clusters=153, whisker=left, elapsed=6.6s
[ok] e8b4fda3-7fe4-4706-8ec2-91036cfee6bd: raw_trials=527, kept_trials=386, good_clusters=175, whisker=left, elapsed=7.9s
[ok] 5b609f9b-75cb-43d3-9c39-b5b4b7a0db67: raw_trials=1001, kept_trials=751, good_clusters=181, whisker=left, elapsed=27.3s
[ok] 45ef6691-7b80-4a43-bd1a-85fc00851ae8: raw_trials=645, kept_trials=428, good_clusters=164, whisker=left, elapsed=9.4s
[ok] 6bb5da8f-6858-4fdd-96d9-c34b3b841593: raw_trials=651, kept_trials=449, good_clusters=29, whisker=left, elapsed=4.8s
[ok] 54238fd6-d2d0-4408-b1a9-d19d24fd29ce: raw_trials=623, kept_trials=427, good_clusters=241, whisker=left, elapsed=11.7s
[ok] 6c6983ef-7383-4989-9183-32b1a300d17a: raw_trials=635, kept_trials=463, good_clusters=92, whisker=left, elapsed=6.0s
[ok] eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0: raw_trials=630, kept_trials=475, good_clusters=158, whisker=left, elapsed=9.1s
[ok] 671c7ea7-6726-4fbe-adeb-f89c2c8e489b: raw_trials=802, kept_trials=543, good_clusters=136, whisker=left, elapsed=11.1s
[ok] 746d1902-fa59-4cab-b0aa-013be36060d5: raw_trials=660, kept_trials=481, good_clusters=456, whisker=left, elapsed=32.1s
[ok] 56bc129c-6265-407a-a208-cc16d20a6c01: raw_trials=1065, kept_trials=641, good_clusters=298, whisker=left, elapsed=47.2s
[ok] 91796ceb-e314-4859-9a1f-092f85cc846a: raw_trials=626, kept_trials=432, good_clusters=200, whisker=left, elapsed=12.3s
[ok] 26aa51ff-968c-42e4-85c8-8ff47d19254d: raw_trials=534, kept_trials=338, good_clusters=200, whisker=left, elapsed=14.1s
[ok] 948fd27b-507b-41b3-bdf8-f9f5f0af8e0b: raw_trials=604, kept_trials=383, good_clusters=184, whisker=left, elapsed=17.6s
[ok] 56b57c38-2699-4091-90a8-aba35103155e: raw_trials=571, kept_trials=413, good_clusters=424, whisker=left, elapsed=25.0s
[ok] e012d3e3-fdbc-4661-9ffa-5fa284e4e706: raw_trials=705, kept_trials=466, good_clusters=162, whisker=left, elapsed=20.2s
[ok] 9fe512b8-92a8-4642-83b6-01158ab66c3c: raw_trials=757, kept_trials=501, good_clusters=173, whisker=left, elapsed=19.8s
[ok] f7335a49-4a98-46d2-a8ce-d041d2eac1d6: raw_trials=402, kept_trials=185, good_clusters=263, whisker=left, elapsed=19.5s
[ok] c6db3304-c906-400c-aa0f-45dd3945b2ea: raw_trials=742, kept_trials=529, good_clusters=102, whisker=left, elapsed=6.2s
[ok] 9eec761e-9762-4897-b308-a3a08c311e69: raw_trials=744, kept_trials=493, good_clusters=211, whisker=left, elapsed=23.2s
[ok] 88d24c31-52e4-49cc-9f32-6adbeb9eba87: raw_trials=547, kept_trials=319, good_clusters=165, whisker=left, elapsed=7.5s
[ok] 6fb1e12c-883b-46d1-a745-473cde3232c8: raw_trials=508, kept_trials=317, good_clusters=158, whisker=left, elapsed=4.2s
[ok] 2e22c1fc-eec6-4856-85a0-7dba8668f646: raw_trials=567, kept_trials=349, good_clusters=306, whisker=left, elapsed=36.3s
[ok] 695a6073-eae0-49e0-bb0f-e9e57a9275b9: raw_trials=651, kept_trials=466, good_clusters=98, whisker=left, elapsed=15.6s
[ok] f3ce3197-d534-4618-bf81-b687555d1883: raw_trials=990, kept_trials=697, good_clusters=93, whisker=left, elapsed=13.2s
[ok] c7bd79c9-c47e-4ea5-aea3-74dda991b48e: raw_trials=1213, kept_trials=1093, good_clusters=237, whisker=left, elapsed=20.1s
[ok] 6f09ba7e-e3ce-44b0-932b-c003fb44fb89: raw_trials=551, kept_trials=411, good_clusters=288, whisker=left, elapsed=17.6s
[ok] 4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a: raw_trials=529, kept_trials=342, good_clusters=448, whisker=left, elapsed=32.3s
[ok] 4a45c8ba-db6f-4f11-9403-56e06a33dfa4: raw_trials=401, kept_trials=209, good_clusters=435, whisker=left, elapsed=38.8s
[ok] aa20388b-9ea3-4506-92f1-3c2be84b85db: raw_trials=519, kept_trials=305, good_clusters=192, whisker=left, elapsed=12.7s
[ok] 993c7024-0abc-4028-ad30-d397ad55b084: raw_trials=1091, kept_trials=1033, good_clusters=347, whisker=left, elapsed=37.2s
[ok] 251ece37-7798-477c-8a06-2845d4aa270c: raw_trials=507, kept_trials=356, good_clusters=264, whisker=left, elapsed=27.0s
[ok] c3d9b6fb-7fa9-4413-a364-92a54df0fc5d: raw_trials=587, kept_trials=374, good_clusters=191, whisker=left, elapsed=21.8s
[ok] fcd49e34-f07b-441c-b2ac-cb8c462ec5ac: raw_trials=1279, kept_trials=1201, good_clusters=304, whisker=left, elapsed=24.8s
[ok] fece187f-b47f-4870-a1d6-619afe942a7d: raw_trials=1525, kept_trials=1445, good_clusters=306, whisker=left, elapsed=44.5s
[ok] 1ec23a70-b94b-4e9c-a0df-8c2151da3761: raw_trials=1194, kept_trials=1085, good_clusters=259, whisker=left, elapsed=20.0s
[ok] 5522ac4b-0e41-4c53-836a-aaa17e82b9eb: raw_trials=1139, kept_trials=1054, good_clusters=265, whisker=left, elapsed=30.4s
[ok] d23a44ef-1402-4ed7-97f5-47e9a7a504d9: raw_trials=410, kept_trials=286, good_clusters=398, whisker=left, elapsed=20.2s
[ok] 768a371d-7e88-47f8-bf21-4a6a6570dd6e: raw_trials=403, kept_trials=259, good_clusters=207, whisker=left, elapsed=8.7s
[ok] e349a2e7-50a3-47ca-bc45-20d1899854ec: raw_trials=1022, kept_trials=882, good_clusters=198, whisker=left, elapsed=13.4s
[ok] 15763234-d21e-491f-a01b-1238eb96d389: raw_trials=894, kept_trials=566, good_clusters=172, whisker=left, elapsed=17.4s
[ok] 4ef13091-1bc8-4f32-9619-107bdf48540c: raw_trials=861, kept_trials=624, good_clusters=93, whisker=left, elapsed=11.5s
[ok] 25f77e81-c1af-46ab-8686-73ac3d67c4a7: raw_trials=1014, kept_trials=505, good_clusters=152, whisker=left, elapsed=15.4s
[ok] cae5cd75-55e5-4277-8db3-cf4d6c5ff918: raw_trials=498, kept_trials=258, good_clusters=82, whisker=left, elapsed=6.5s
[ok] 5339812f-8b91-40ba-9d8f-a559563cc46b: raw_trials=438, kept_trials=285, good_clusters=469, whisker=left, elapsed=28.2s
[ok] ebe2efe3-e8a1-451a-8947-76ef42427cc9: raw_trials=672, kept_trials=352, good_clusters=105, whisker=left, elapsed=12.3s
[ok] edd22318-216c-44ff-bc24-49ce8be78374: raw_trials=891, kept_trials=511, good_clusters=142, whisker=left, elapsed=16.4s
[ok] 037d75ca-c90a-43f2-aca6-e86611916779: raw_trials=842, kept_trials=631, good_clusters=134, whisker=left, elapsed=26.7s
[ok] 626126d5-eecf-4e9b-900e-ec29a17ece07: raw_trials=972, kept_trials=662, good_clusters=249, whisker=left, elapsed=16.7s
[ok] e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1: raw_trials=1065, kept_trials=698, good_clusters=228, whisker=left, elapsed=33.0s
[ok] 49e0ab27-827a-4c91-bcaa-97eea27a1b8d: raw_trials=884, kept_trials=574, good_clusters=141, whisker=left, elapsed=15.8s
[ok] a7763417-e0d6-4f2a-aa55-e382fd9b5fb8: raw_trials=972, kept_trials=660, good_clusters=273, whisker=left, elapsed=39.9s
[ok] 81a78eac-9d36-4f90-a73a-7eb3ad7f770b: raw_trials=1103, kept_trials=919, good_clusters=309, whisker=left, elapsed=15.6s
[ok] b69b86be-af7d-4ecf-8cbf-0cd356afa1bd: raw_trials=462, kept_trials=198, good_clusters=367, whisker=left, elapsed=29.2s
[ok] e56541a5-a6d5-4750-b1fe-f6b5257bfe7c: raw_trials=583, kept_trials=346, good_clusters=309, whisker=left, elapsed=17.7s
[ok] 7f6b86f9-879a-4ea2-8531-294a221af5d0: raw_trials=1013, kept_trials=626, good_clusters=197, whisker=left, elapsed=25.0s
[ok] 5d01d14e-aced-4465-8f8e-9a1c674f62ec: raw_trials=555, kept_trials=257, good_clusters=320, whisker=left, elapsed=26.1s
[ok] ff48aa1d-ef30-4903-ac34-8c41b738c1b9: raw_trials=945, kept_trials=733, good_clusters=261, whisker=left, elapsed=14.8s
[ok] 5adab0b7-dfd0-467d-b09d-43cb7ca5d59c: raw_trials=672, kept_trials=426, good_clusters=318, whisker=left, elapsed=27.8s
[ok] 03063955-2523-47bd-ae57-f7489dd40f15: raw_trials=867, kept_trials=564, good_clusters=151, whisker=left, elapsed=10.0s
[ok] 280ee768-f7b8-4c6c-9ea0-48ca75d6b6f3: raw_trials=888, kept_trials=730, good_clusters=112, whisker=left, elapsed=17.6s
[ok] 8c33abef-3d3e-4d42-9f27-445e9def08f9: raw_trials=721, kept_trials=486, good_clusters=263, whisker=left, elapsed=24.7s
[ok] 90c61c38-b9fd-4cc3-9795-29160d2f8e55: raw_trials=804, kept_trials=651, good_clusters=116, whisker=left, elapsed=5.6s
[skip] 4d8c7767-981c-4347-8e5e-5d5fffe38534: Missing whisker motion energy files for /app/data/one_cache/mrsicflogellab/Subjects/SWC_038/2020-07-30/001
[ok] c557324b-b95d-414c-888f-6ee1329a2329: raw_trials=1053, kept_trials=855, good_clusters=325, whisker=left, elapsed=29.9s
[ok] fe1fd79f-b051-411f-a0a9-2530a02cc78d: raw_trials=548, kept_trials=364, good_clusters=143, whisker=left, elapsed=9.7s
[ok] 1e45d992-c356-40e1-9be1-a506d944896f: raw_trials=623, kept_trials=414, good_clusters=184, whisker=left, elapsed=12.0s
[ok] 934dd7a4-fbdc-459c-8830-04fe9033bc28: raw_trials=688, kept_trials=536, good_clusters=128, whisker=left, elapsed=10.4s
[skip] d832d9f7-c96a-4f63-8921-516ba4a7b61f: Missing wheel files for /app/data/one_cache/wittenlab/Subjects/ibl_witten_17/2020-07-22/003
[skip] dcceebe5-4589-44df-a1c1-9fa33e779727: Missing whisker motion energy files for /app/data/one_cache/wittenlab/Subjects/ibl_witten_17/2020-07-23/001
[skip] f8041c1e-5ef4-4ae6-afec-ed82d7a74dc1: fewer than 2 trials after behavior/neural alignment
[ok] 65f5c9b4-4440-48b9-b914-c593a5184a18: raw_trials=458, kept_trials=359, good_clusters=142, whisker=right, elapsed=14.7s
[ok] b10ed1ba-2099-42c4-bee3-d053eb594f09: raw_trials=896, kept_trials=625, good_clusters=128, whisker=right, elapsed=24.8s
[ok] 549caacc-3bd7-40f1-913d-e94141816547: raw_trials=407, kept_trials=232, good_clusters=210, whisker=left, elapsed=19.5s
[ok] 6274dda8-3a59-4aa1-95f8-a8a549c46a26: raw_trials=781, kept_trials=586, good_clusters=376, whisker=left, elapsed=26.1s
[ok] b39752db-abdb-47ab-ae78-e8608bbf50ed: raw_trials=636, kept_trials=490, good_clusters=147, whisker=left, elapsed=8.6s
[ok] ee8b36de-779f-4dea-901f-e0141c95722b: raw_trials=553, kept_trials=419, good_clusters=220, whisker=left, elapsed=8.6s
[ok] 4ddb8a95-788b-48d0-8a0a-66c7c796da96: raw_trials=722, kept_trials=553, good_clusters=137, whisker=right, elapsed=13.9s
[ok] b658bc7d-07cd-4203-8a25-7b16b549851b: raw_trials=925, kept_trials=794, good_clusters=148, whisker=left, elapsed=8.9s
[ok] 7622da34-51b6-4661-98ae-a57d40806008: raw_trials=585, kept_trials=461, good_clusters=42, whisker=left, elapsed=10.3s
[ok] f25642c6-27a5-4a97-9ea0-06652db79fbd: raw_trials=403, kept_trials=327, good_clusters=135, whisker=left, elapsed=8.5s
[ok] bd456d8f-d36e-434a-8051-ff3997253802: raw_trials=630, kept_trials=507, good_clusters=228, whisker=left, elapsed=17.9s
[ok] 20c112a1-8a42-44e0-a4cd-e5b932f7bda9: raw_trials=636, kept_trials=439, good_clusters=276, whisker=left, elapsed=36.1s
[ok] 28741f91-c837-4147-939e-918d38d849f2: raw_trials=401, kept_trials=270, good_clusters=119, whisker=left, elapsed=13.1s
[ok] 4720c98a-a305-4fba-affb-bbfa00a724a4: raw_trials=608, kept_trials=532, good_clusters=171, whisker=left, elapsed=17.9s
[ok] 66d98e6e-bcd9-4e78-8fbb-636f7e808b29: raw_trials=564, kept_trials=379, good_clusters=70, whisker=left, elapsed=19.0s
[ok] f312aaec-3b6f-44b3-86b4-3a0c119c0438: raw_trials=626, kept_trials=462, good_clusters=183, whisker=left, elapsed=9.7s
[ok] f9860a11-24d3-452e-ab95-39e199f20a93: raw_trials=463, kept_trials=257, good_clusters=164, whisker=left, elapsed=25.7s
[ok] fb70ebf7-8175-42b0-9b7a-7c6e8612226e: raw_trials=649, kept_trials=484, good_clusters=267, whisker=left, elapsed=14.1s
[skip] b81e3e11-9a60-4114-b894-09f85074d9c3: Missing whisker motion energy files for /app/data/one_cache/zadorlab/Subjects/CSH_ZAD_022/2020-05-27/001
[ok] 90e74228-fd1a-482f-bd56-05dbad132861: raw_trials=971, kept_trials=659, good_clusters=85, whisker=left, elapsed=13.1s
[skip] 8db36de1-8f17-4446-b527-b5d91909b45a: Missing wheel files for /app/data/one_cache/zadorlab/Subjects/CSH_ZAD_022/2020-05-19/001
[ok] 8207abc6-6b23-4762-92b4-82e05bed5143: raw_trials=751, kept_trials=496, good_clusters=380, whisker=left, elapsed=36.1s
[skip] 03cf52f6-fba6-4743-a42e-dd1ac3072343: Missing whisker motion energy files for /app/data/one_cache/zadorlab/Subjects/CSH_ZAD_011/2020-03-22/001
[ok] a82800ce-f4e3-4464-9b80-4c3d6fade333: raw_trials=672, kept_trials=455, good_clusters=219, whisker=left, elapsed=31.1s
[ok] a66f1593-dafd-4982-9b66-f9554b6c86b5: raw_trials=657, kept_trials=392, good_clusters=214, whisker=left, elapsed=30.6s
[skip] da188f2c-553c-4e04-879b-c9ea2d1b9a93: Missing whisker motion energy files for /app/data/one_cache/zadorlab/Subjects/CSH_ZAD_011/2020-03-23/001
[ok] 41431f53-69fd-4e3b-80ce-ea62e03bf9c7: raw_trials=570, kept_trials=308, good_clusters=289, whisker=left, elapsed=33.7s
[ok] e535fb62-e245-4a48-b119-88ce62a6fe67: raw_trials=434, kept_trials=338, good_clusters=107, whisker=left, elapsed=3.9s
[ok] 6a601cc5-7b79-4c75-b0e8-552246532f82: raw_trials=827, kept_trials=389, good_clusters=268, whisker=left, elapsed=37.9s
[ok] 1eac875c-feaa-4a30-b148-059b954b11d8: raw_trials=1253, kept_trials=612, good_clusters=140, whisker=left, elapsed=33.6s
[ok] 5b44c40f-80f4-44fb-abfb-c7f19e27a6ca: raw_trials=591, kept_trials=418, good_clusters=134, whisker=left, elapsed=11.0s
[ok] 7be8fec4-406b-4e74-8548-d2885dcc3d5e: raw_trials=594, kept_trials=435, good_clusters=189, whisker=left, elapsed=10.0s
[ok] 6364ff7f-6471-415a-ab9e-632a12052690: raw_trials=629, kept_trials=388, good_clusters=123, whisker=left, elapsed=10.6s
[ok] d16a9a8d-5f42-4b49-ba58-1746f807fcc1: raw_trials=449, kept_trials=280, good_clusters=3, whisker=left, elapsed=2.6s
[ok] 2e6e179c-fccc-4e8f-9448-ce5b6858a183: raw_trials=553, kept_trials=444, good_clusters=164, whisker=left, elapsed=11.5s
[ok] 9a629642-3a9c-42ed-b70a-532db0e86199: raw_trials=401, kept_trials=267, good_clusters=134, whisker=left, elapsed=8.9s
[ok] a19c7a3a-7261-42ce-95d5-1f4ca46007ed: raw_trials=479, kept_trials=392, good_clusters=80, whisker=left, elapsed=4.4s
[ok] 37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0: raw_trials=630, kept_trials=358, good_clusters=193, whisker=left, elapsed=16.0s
[ok] 2f63c555-eb74-4d8d-ada5-5c3ecf3b46be: raw_trials=407, kept_trials=255, good_clusters=34, whisker=left, elapsed=10.7s
[ok] 413a6825-2144-4a50-b3fc-cf38ddd6fd1a: raw_trials=456, kept_trials=326, good_clusters=52, whisker=left, elapsed=3.2s
[ok] e5c772cd-9c92-47ab-9525-d618b66a9b5d: raw_trials=514, kept_trials=379, good_clusters=176, whisker=left, elapsed=15.3s
[ok] 1191f865-b10a-45c8-9c48-24a980fd9402: raw_trials=966, kept_trials=678, good_clusters=252, whisker=left, elapsed=21.3s
[ok] 6668c4a0-70a4-4012-a7da-709660971d7a: raw_trials=427, kept_trials=304, good_clusters=346, whisker=left, elapsed=21.6s
[ok] 30e5937e-e86a-47e6-93ae-d2ae3877ff8e: raw_trials=424, kept_trials=320, good_clusters=110, whisker=left, elapsed=3.5s
