Found 174 NWB files in /app/data
[1/174] SC015_20190207_120657_s1: 459 neurons, 354/368 trials, 0.77s  {'trials': 0.171, 'read_spikes': 0.228, 'bin_spikes': 0.219, 'regions': 0.076, 'inputs': 0.001, 'outputs': 0.051, 'assemble': 0.017}  [elapsed 2s, eta 273s]
[102/174] SC049_20210110_134005_s17: 480 neurons, 687/720 trials, 1.19s  {'trials': 0.187, 'read_spikes': 0.321, 'bin_spikes': 0.437, 'regions': 0.092, 'inputs': 0.002, 'outputs': 0.103, 'assemble': 0.028}  [elapsed 14s, eta 10s]
[103/174] SC049_20210111_122809_s18: 495 neurons, 517/540 trials, 0.94s  {'trials': 0.215, 'read_spikes': 0.216, 'bin_spikes': 0.336, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.015}  [elapsed 14s, eta 10s]
[104/174] SC049_20210112_130202_s19: 675 neurons, 619/624 trials, 1.65s  {'trials': 0.179, 'read_spikes': 0.554, 'bin_spikes': 0.717, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.032}  [elapsed 15s, eta 10s]
[105/174] SC049_20210113_125455_s20: 749 neurons, 674/680 trials, 2.0s  {'trials': 0.216, 'read_spikes': 0.736, 'bin_spikes': 0.783, 'regions': 0.111, 'inputs': 0.002, 'outputs': 0.085, 'assemble': 0.045}  [elapsed 16s, eta 11s]
[106/174] SC050_20210225_155426_s16: 630 neurons, 510/540 trials, 1.44s  {'trials': 0.252, 'read_spikes': 0.5, 'bin_spikes': 0.454, 'regions': 0.09, 'inputs': 0.001, 'outputs': 0.091, 'assemble': 0.038}  [elapsed 16s, eta 10s]
[107/174] SC050_20210226_161028_s17: 733 neurons, 476/500 trials, 1.43s  {'trials': 0.175, 'read_spikes': 0.533, 'bin_spikes': 0.526, 'regions': 0.09, 'inputs': 0.001, 'outputs': 0.058, 'assemble': 0.034}  [elapsed 16s, eta 10s]
[108/174] SC050_20210227_131716_s18: 765 neurons, 488/520 trials, 1.5s  {'trials': 0.252, 'read_spikes': 0.49, 'bin_spikes': 0.548, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.076, 'assemble': 0.028}  [elapsed 16s, eta 10s]
[109/174] SC050_20210301_144130_s19: 538 neurons, 473/500 trials, 1.0s  {'trials': 0.185, 'read_spikes': 0.263, 'bin_spikes': 0.348, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.082, 'assemble': 0.021}  [elapsed 16s, eta 10s]
[110/174] SC050_20210302_140243_s20: 502 neurons, 507/550 trials, 1.01s  {'trials': 0.189, 'read_spikes': 0.271, 'bin_spikes': 0.356, 'regions': 0.089, 'inputs': 0.002, 'outputs': 0.078, 'assemble': 0.017}  [elapsed 16s, eta 9s]
[111/174] SC050_20210303_161010_s21: 257 neurons, 460/500 trials, 0.71s  {'trials': 0.171, 'read_spikes': 0.204, 'bin_spikes': 0.172, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.065, 'assemble': 0.009}  [elapsed 16s, eta 9s]
[112/174] SC050_20210304_163309_s22: 219 neurons, 528/560 trials, 0.68s  {'trials': 0.175, 'read_spikes': 0.178, 'bin_spikes': 0.187, 'regions': 0.067, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.009}  [elapsed 16s, eta 9s]
[113/174] SC053_20210218_122535_s16: 477 neurons, 310/330 trials, 1.11s  {'trials': 0.239, 'read_spikes': 0.443, 'bin_spikes': 0.228, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.103, 'assemble': 0.009}  [elapsed 16s, eta 9s]
[114/174] SC053_20210219_132453_s7: 376 neurons, 436/460 trials, 0.88s  {'trials': 0.211, 'read_spikes': 0.276, 'bin_spikes': 0.244, 'regions': 0.066, 'inputs': 0.001, 'outputs': 0.063, 'assemble': 0.014}  [elapsed 16s, eta 9s]
[115/174] SC053_20210220_124834_s15: 516 neurons, 350/381 trials, 1.05s  {'trials': 0.184, 'read_spikes': 0.368, 'bin_spikes': 0.258, 'regions': 0.093, 'inputs': 0.001, 'outputs': 0.122, 'assemble': 0.019}  [elapsed 17s, eta 9s]
[116/174] SC053_20210221_130859_s8: 688 neurons, 566/600 trials, 1.69s  {'trials': 0.176, 'read_spikes': 0.67, 'bin_spikes': 0.628, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.084, 'assemble': 0.026}  [elapsed 17s, eta 9s]
[117/174] SC053_20210222_130313_s9: 350 neurons, 550/580 trials, 1.02s  {'trials': 0.218, 'read_spikes': 0.321, 'bin_spikes': 0.307, 'regions': 0.07, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.017}  [elapsed 17s, eta 8s]
[118/174] SC053_20210223_135753_s10: 219 neurons, 561/580 trials, 0.88s  {'trials': 0.226, 'read_spikes': 0.255, 'bin_spikes': 0.217, 'regions': 0.065, 'inputs': 0.002, 'outputs': 0.096, 'assemble': 0.01}  [elapsed 17s, eta 8s]
[119/174] SC053_20210224_133042_s11: 469 neurons, 495/520 trials, 1.35s  {'trials': 0.225, 'read_spikes': 0.541, 'bin_spikes': 0.38, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.085, 'assemble': 0.018}  [elapsed 17s, eta 8s]
[120/174] SC053_20210225_115002_s12: 366 neurons, 534/561 trials, 0.95s  {'trials': 0.196, 'read_spikes': 0.284, 'bin_spikes': 0.294, 'regions': 0.084, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.013}  [elapsed 17s, eta 8s]
[121/174] SC053_20210226_133429_s13: 483 neurons, 546/570 trials, 1.42s  {'trials': 0.212, 'read_spikes': 0.545, 'bin_spikes': 0.432, 'regions': 0.091, 'inputs': 0.001, 'outputs': 0.106, 'assemble': 0.026}  [elapsed 18s, eta 8s]
[122/174] SC053_20210228_131818_s14: 268 neurons, 622/650 trials, 0.83s  {'trials': 0.217, 'read_spikes': 0.2, 'bin_spikes': 0.235, 'regions': 0.067, 'inputs': 0.001, 'outputs': 0.094, 'assemble': 0.012}  [elapsed 18s, eta 8s]
[123/174] SC052_20210121_153333_s3: 432 neurons, 508/520 trials, 1.22s  {'trials': 0.219, 'read_spikes': 0.475, 'bin_spikes': 0.355, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.061, 'assemble': 0.015}  [elapsed 18s, eta 7s]
[124/174] SC052_20210122_131850_s4: 358 neurons, 591/625 trials, 1.36s  {'trials': 0.233, 'read_spikes': 0.596, 'bin_spikes': 0.343, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.078, 'assemble': 0.005}  [elapsed 18s, eta 7s]
[125/174] SC052_20210123_132015_s5: 407 neurons, 577/600 trials, 1.25s  {'trials': 0.222, 'read_spikes': 0.429, 'bin_spikes': 0.369, 'regions': 0.089, 'inputs': 0.002, 'outputs': 0.1, 'assemble': 0.024}  [elapsed 18s, eta 7s]
[126/174] SC052_20210125_124258_s6: 509 neurons, 556/601 trials, 1.62s  {'trials': 0.253, 'read_spikes': 0.692, 'bin_spikes': 0.437, 'regions': 0.111, 'inputs': 0.001, 'outputs': 0.093, 'assemble': 0.023}  [elapsed 18s, eta 7s]
[127/174] SC052_20210126_134951_s7: 650 neurons, 530/540 trials, 1.66s  {'trials': 0.215, 'read_spikes': 0.672, 'bin_spikes': 0.567, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.072, 'assemble': 0.029}  [elapsed 19s, eta 7s]
[128/174] SC052_20210127_140737_s8: 731 neurons, 488/504 trials, 1.52s  {'trials': 0.165, 'read_spikes': 0.576, 'bin_spikes': 0.549, 'regions': 0.114, 'inputs': 0.001, 'outputs': 0.071, 'assemble': 0.033}  [elapsed 19s, eta 7s]
[129/174] SC052_20210128_133949_s9: 923 neurons, 592/620 trials, 2.32s  {'trials': 0.176, 'read_spikes': 1.015, 'bin_spikes': 0.871, 'regions': 0.108, 'inputs': 0.001, 'outputs': 0.088, 'assemble': 0.043}  [elapsed 21s, eta 7s]
[130/174] SC052_20210129_132207_s10: 724 neurons, 639/700 trials, 2.16s  {'trials': 0.242, 'read_spikes': 0.893, 'bin_spikes': 0.763, 'regions': 0.112, 'inputs': 0.001, 'outputs': 0.096, 'assemble': 0.036}  [elapsed 21s, eta 7s]
[131/174] SC052_20210130_135022_s11: 850 neurons, 520/580 trials, 1.38s  {'trials': 0.173, 'read_spikes': 0.422, 'bin_spikes': 0.572, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.064, 'assemble': 0.043}  [elapsed 21s, eta 7s]
[132/174] SC061_20210318_171131_s7: 256 neurons, 430/465 trials, 0.8s  {'trials': 0.243, 'read_spikes': 0.213, 'bin_spikes': 0.159, 'regions': 0.085, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.008}  [elapsed 21s, eta 7s]
[133/174] SC061_20210319_144211_s8: 385 neurons, 544/600 trials, 1.11s  {'trials': 0.221, 'read_spikes': 0.418, 'bin_spikes': 0.295, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.013}  [elapsed 21s, eta 6s]
[134/174] SC061_20210321_131204_s9: 213 neurons, 457/500 trials, 0.67s  {'trials': 0.191, 'read_spikes': 0.164, 'bin_spikes': 0.14, 'regions': 0.092, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.009}  [elapsed 21s, eta 6s]
[135/174] SC061_20210322_122309_s10: 330 neurons, 537/570 trials, 0.93s  {'trials': 0.221, 'read_spikes': 0.262, 'bin_spikes': 0.269, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.075, 'assemble': 0.012}  [elapsed 21s, eta 6s]
[136/174] SC061_20210323_121231_s11: 492 neurons, 441/470 trials, 1.17s  {'trials': 0.251, 'read_spikes': 0.398, 'bin_spikes': 0.331, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.077, 'assemble': 0.013}  [elapsed 21s, eta 6s]
[137/174] SC061_20210324_143423_s12: 215 neurons, 611/642 trials, 0.9s  {'trials': 0.229, 'read_spikes': 0.305, 'bin_spikes': 0.19, 'regions': 0.068, 'inputs': 0.001, 'outputs': 0.091, 'assemble': 0.012}  [elapsed 21s, eta 6s]
[138/174] SC064_20210427_145157_s5: 486 neurons, 417/440 trials, 1.07s  {'trials': 0.22, 'read_spikes': 0.325, 'bin_spikes': 0.316, 'regions': 0.113, 'inputs': 0.001, 'outputs': 0.064, 'assemble': 0.021}  [elapsed 21s, eta 5s]
[139/174] SC064_20210428_133442_s6: 633 neurons, 534/560 trials, 1.32s  {'trials': 0.213, 'read_spikes': 0.39, 'bin_spikes': 0.514, 'regions': 0.089, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.033}  [elapsed 21s, eta 5s]
[140/174] SC064_20210429_131158_s7: 497 neurons, 502/530 trials, 1.12s  {'trials': 0.239, 'read_spikes': 0.317, 'bin_spikes': 0.356, 'regions': 0.085, 'inputs': 0.001, 'outputs': 0.092, 'assemble': 0.017}  [elapsed 21s, eta 5s]
[141/174] SC064_20210430_132651_s8: 532 neurons, 481/500 trials, 1.42s  {'trials': 0.239, 'read_spikes': 0.527, 'bin_spikes': 0.428, 'regions': 0.112, 'inputs': 0.001, 'outputs': 0.075, 'assemble': 0.025}  [elapsed 21s, eta 5s]
[142/174] SC064_20210504_121957_s10: 285 neurons, 627/660 trials, 0.82s  {'trials': 0.223, 'read_spikes': 0.169, 'bin_spikes': 0.247, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.019}  [elapsed 21s, eta 5s]
[143/174] SC064_20210505_131153_s11: 227 neurons, 656/690 trials, 0.86s  {'trials': 0.22, 'read_spikes': 0.253, 'bin_spikes': 0.205, 'regions': 0.089, 'inputs': 0.001, 'outputs': 0.076, 'assemble': 0.012}  [elapsed 21s, eta 5s]
[144/174] SC064_20210506_134206_s12: 342 neurons, 644/680 trials, 1.1s  {'trials': 0.227, 'read_spikes': 0.347, 'bin_spikes': 0.328, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.087, 'assemble': 0.015}  [elapsed 22s, eta 4s]
[145/174] SC064_20210507_135524_s13: 430 neurons, 695/730 trials, 1.55s  {'trials': 0.213, 'read_spikes': 0.574, 'bin_spikes': 0.515, 'regions': 0.107, 'inputs': 0.001, 'outputs': 0.096, 'assemble': 0.026}  [elapsed 22s, eta 4s]
[146/174] SC064_20210508_132858_s14: 390 neurons, 637/660 trials, 1.22s  {'trials': 0.252, 'read_spikes': 0.383, 'bin_spikes': 0.383, 'regions': 0.087, 'inputs': 0.002, 'outputs': 0.089, 'assemble': 0.015}  [elapsed 22s, eta 4s]
[147/174] SC065_20210504_155124_s5: 308 neurons, 588/620 trials, 1.02s  {'trials': 0.22, 'read_spikes': 0.325, 'bin_spikes': 0.281, 'regions': 0.086, 'inputs': 0.002, 'outputs': 0.079, 'assemble': 0.02}  [elapsed 22s, eta 4s]
[148/174] SC065_20210505_170309_s6: 298 neurons, 625/660 trials, 1.13s  {'trials': 0.251, 'read_spikes': 0.391, 'bin_spikes': 0.296, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.016}  [elapsed 22s, eta 4s]
[149/174] SC065_20210506_174036_s7: 638 neurons, 516/545 trials, 1.41s  {'trials': 0.237, 'read_spikes': 0.438, 'bin_spikes': 0.485, 'regions': 0.092, 'inputs': 0.001, 'outputs': 0.104, 'assemble': 0.04}  [elapsed 23s, eta 4s]
[150/174] SC065_20210507_172825_s8: 208 neurons, 509/530 trials, 0.79s  {'trials': 0.213, 'read_spikes': 0.256, 'bin_spikes': 0.177, 'regions': 0.045, 'inputs': 0.004, 'outputs': 0.08, 'assemble': 0.013}  [elapsed 23s, eta 4s]
[151/174] SC065_20210509_131820_s9: 452 neurons, 477/510 trials, 1.15s  {'trials': 0.231, 'read_spikes': 0.4, 'bin_spikes': 0.336, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.072, 'assemble': 0.013}  [elapsed 23s, eta 3s]
[152/174] SC065_20210510_162815_s10: 238 neurons, 388/420 trials, 0.7s  {'trials': 0.213, 'read_spikes': 0.195, 'bin_spikes': 0.127, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.007}  [elapsed 23s, eta 3s]
[153/174] SC065_20210511_140555_s11: 206 neurons, 461/500 trials, 0.68s  {'trials': 0.207, 'read_spikes': 0.168, 'bin_spikes': 0.141, 'regions': 0.085, 'inputs': 0.001, 'outputs': 0.066, 'assemble': 0.009}  [elapsed 23s, eta 3s]
[154/174] SC065_20210513_120445_s12: 404 neurons, 531/560 trials, 1.27s  {'trials': 0.236, 'read_spikes': 0.469, 'bin_spikes': 0.377, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.079, 'assemble': 0.014}  [elapsed 23s, eta 3s]
[155/174] SC065_20210514_111526_s13: 269 neurons, 565/600 trials, 0.96s  {'trials': 0.202, 'read_spikes': 0.332, 'bin_spikes': 0.257, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.065, 'assemble': 0.014}  [elapsed 23s, eta 3s]
[156/174] SC060_20210318_122039_s1: 365 neurons, 390/425 trials, 0.65s  {'trials': 0.193, 'read_spikes': 0.131, 'bin_spikes': 0.177, 'regions': 0.086, 'inputs': 0.001, 'outputs': 0.05, 'assemble': 0.01}  [elapsed 23s, eta 3s]
[157/174] SC060_20210319_121514_s2: 393 neurons, 513/561 trials, 0.76s  {'trials': 0.193, 'read_spikes': 0.136, 'bin_spikes': 0.262, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.063, 'assemble': 0.013}  [elapsed 23s, eta 3s]
[158/174] SC060_20210320_130513_s3: 483 neurons, 521/565 trials, 0.9s  {'trials': 0.22, 'read_spikes': 0.169, 'bin_spikes': 0.327, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.016}  [elapsed 24s, eta 2s]
[159/174] SC060_20210322_164725_s4: 288 neurons, 464/500 trials, 0.75s  {'trials': 0.214, 'read_spikes': 0.191, 'bin_spikes': 0.186, 'regions': 0.084, 'inputs': 0.001, 'outputs': 0.062, 'assemble': 0.01}  [elapsed 24s, eta 2s]
[160/174] SC060_20210323_164459_s5: 325 neurons, 634/680 trials, 1.05s  {'trials': 0.306, 'read_spikes': 0.265, 'bin_spikes': 0.276, 'regions': 0.09, 'inputs': 0.001, 'outputs': 0.089, 'assemble': 0.014}  [elapsed 24s, eta 2s]
[161/174] SC060_20210324_182545_s6: 182 neurons, 458/505 trials, 0.71s  {'trials': 0.212, 'read_spikes': 0.227, 'bin_spikes': 0.126, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.007}  [elapsed 24s, eta 2s]
[162/174] SC066_20210413_112028_s6: 537 neurons, 522/550 trials, 1.51s  {'trials': 0.226, 'read_spikes': 0.667, 'bin_spikes': 0.494, 'regions': 0.089, 'inputs': 0.001, 'outputs': 0.002, 'assemble': 0.018}  [elapsed 24s, eta 2s]
[163/174] SC066_20210414_121243_s7: 473 neurons, 590/620 trials, 1.37s  {'trials': 0.214, 'read_spikes': 0.467, 'bin_spikes': 0.503, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.069, 'assemble': 0.017}  [elapsed 24s, eta 2s]
[164/174] SC066_20210415_121842_s8: 302 neurons, 518/550 trials, 0.91s  {'trials': 0.175, 'read_spikes': 0.285, 'bin_spikes': 0.271, 'regions': 0.087, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.011}  [elapsed 24s, eta 1s]
[165/174] SC066_20210416_140326_s9: 317 neurons, 631/680 trials, 1.15s  {'trials': 0.226, 'read_spikes': 0.373, 'bin_spikes': 0.347, 'regions': 0.088, 'inputs': 0.002, 'outputs': 0.093, 'assemble': 0.014}  [elapsed 24s, eta 1s]
[166/174] SC066_20210419_130102_s10: 530 neurons, 560/600 trials, 1.41s  {'trials': 0.222, 'read_spikes': 0.49, 'bin_spikes': 0.49, 'regions': 0.107, 'inputs': 0.001, 'outputs': 0.071, 'assemble': 0.017}  [elapsed 25s, eta 1s]
[167/174] SC066_20210420_130906_s11: 437 neurons, 499/534 trials, 1.5s  {'trials': 0.257, 'read_spikes': 0.658, 'bin_spikes': 0.364, 'regions': 0.111, 'inputs': 0.001, 'outputs': 0.086, 'assemble': 0.013}  [elapsed 25s, eta 1s]
[168/174] SC066_20210421_141806_s12: 339 neurons, 605/640 trials, 1.16s  {'trials': 0.246, 'read_spikes': 0.385, 'bin_spikes': 0.35, 'regions': 0.088, 'inputs': 0.001, 'outputs': 0.07, 'assemble': 0.014}  [elapsed 25s, eta 1s]
[169/174] SC067_20210413_150250_s23: 445 neurons, 662/700 trials, 1.9s  {'trials': 0.291, 'read_spikes': 0.825, 'bin_spikes': 0.528, 'regions': 0.108, 'inputs': 0.002, 'outputs': 0.12, 'assemble': 0.018}  [elapsed 25s, eta 1s]
[170/174] SC067_20210414_153241_s24: 390 neurons, 547/580 trials, 1.18s  {'trials': 0.212, 'read_spikes': 0.402, 'bin_spikes': 0.375, 'regions': 0.105, 'inputs': 0.001, 'outputs': 0.065, 'assemble': 0.014}  [elapsed 25s, eta 1s]
[171/174] SC067_20210415_161621_s25: 308 neurons, 490/520 trials, 1.02s  {'trials': 0.252, 'read_spikes': 0.365, 'bin_spikes': 0.243, 'regions': 0.085, 'inputs': 0.001, 'outputs': 0.057, 'assemble': 0.011}  [elapsed 25s, eta 0s]
[172/174] SC067_20210418_132006_s26: 787 neurons, 689/720 trials, 2.03s  {'trials': 0.233, 'read_spikes': 0.66, 'bin_spikes': 0.9, 'regions': 0.108, 'inputs': 0.001, 'outputs': 0.076, 'assemble': 0.029}  [elapsed 26s, eta 0s]
[173/174] SC067_20210419_161140_s27: 472 neurons, 448/480 trials, 1.4s  {'trials': 0.208, 'read_spikes': 0.616, 'bin_spikes': 0.368, 'regions': 0.111, 'inputs': 0.001, 'outputs': 0.072, 'assemble': 0.019}  [elapsed 26s, eta 0s]
[174/174] SC067_20210420_170516_s28: 368 neurons, 626/650 trials, 1.37s  {'trials': 0.209, 'read_spikes': 0.565, 'bin_spikes': 0.38, 'regions': 0.109, 'inputs': 0.001, 'outputs': 0.083, 'assemble': 0.015}  [elapsed 26s, eta 0s]
SKIPPED SC017_20190216_162508_s4: no good units

Converted 173 sessions (1 skipped, 0 errors) in 26.1s
  sessions            : 173
  subjects            : 28
  total neurons       : 69453
  neurons/session     : mean 401.5, median 390, range 90-923
  total trials        : 89544
  trials/session      : mean 517.6, median 518, range 159-796
  neurons per region  : ALM=8882, Orbital=10223, OtherCortex=7338, Olfactory=4137, Hippocampus=1944, CorticalSubplate=1888, Striatum=7738, Pallidum=1090, Thalamus=13016, Hypothalamus=602, Midbrain=7480, Pons=367, Medulla=2928, Cerebellum=1820

Wrote /app/converted_data.pkl (11.89 GB) in 15.6s
